Readout,Condition,Metric,DenominatorGate,DenominatorLabel,LineageGate,n_pairs,median_12w,median_44w,median_diff_pp,p_value,effect_rbc,p_adj
CCR6+ CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,32,14.2,12.600000000000001,-4.1099999999999985,0.029374299744830388,0.27840909090909094,0.24926432503860937
CD45RO+ CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,32,54.101398619673546,62.546560384229224,-4.016984125154115,0.4949156982658615,0.42992424242424243,0.7918912688147283
CCR6- CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,32,71.33789895986149,76.69988489509757,3.568520556290842,0.17520319062434142,0.6382575757575757,0.587080249114754
IFNy,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,32,7.96,15.95,3.1799999999999997,0.2993102552068844,0.6799242424242424,0.6327740402850245
TNFa,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,32,46.3,47.6,2.6499999999999986,0.8006915268556656,0.5265151515151515,0.9102701530392637
CCR6- CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,32,13.757537168724062,14.820127609401627,2.4278953133944627,0.5433761521923217,0.5625,0.8080149723429997
CCR6+ CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,32,17.05,15.5,-2.285000000000001,0.38318314456373453,0.44507575757575757,0.7162991641245802
HLA-DR+ CD38+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,32,58.849999999999994,61,1.2000000000000028,0.9032608719714033,0.4867424242424242,0.9327217785058057
IL-2,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,32,30.7,26.6,-1.1000000000000005,0.23859776939390406,0.48390151515151514,0.6101222749625002
CD45RO+ CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,32,9.305460997916594,4.726177249927268,-0.9365085264135655,0.19373648220786882,0.36742424242424243,0.587080249114754
CD45RO- CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,32,6.914176052102772,7.7700500763083475,0,0.4622244949033681,0.6534090909090908,0.7580629559078528
CD45RO- CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,32,0,0.15,0,0.4561711599840144,0.7859848484848485,0.7580629559078528
IL-17a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,32,14.5,10.7,0,0.7639388088985165,0.6174242424242424,0.8976087986558364
IL-21,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,32,6.005000000000001,6.140000000000001,0,0.9364758738535077,0.6231060606060606,0.9459352261146543
IL-22,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,32,8.38,5.470000000000001,0,0.8288069020243478,0.6079545454545454,0.9102701530392637
IL-17a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,32,29.75,30.45,6.4499999999999975,0.2907021883689271,0.6079545454545454,0.6320300419454328
IL-21,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,32,17.659965056805646,29.474270820388345,6.153515452130112,0.006645179143698205,0.7935606060606061,0.12263969669541676
TNFa,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,32,66.38513218002939,70.79403955848582,4.359626357185569,0.5068104120414261,0.5681818181818181,0.7918912688147283
CD107a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,32,39.45967939092809,47.66701101799629,3.8790741974668848,0.24253107645163252,0.6193181818181819,0.6101222749625002
PD-1,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,29,20.59925204518894,23.232995102224105,3.8000692904048012,0.07986338479253119,0.6873563218390805,0.34723210779361385
HLA-DR+ CD38+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,32,9.384347032260816,10.570606879054793,2.258218218885199,0.25015013273462505,0.6174242424242424,0.6101222749625002
IFNy,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,32,2.80685977532719,4.685180170088802,1.5430292998766308,0.0016283991210771793,0.8200757575757576,0.05220849987568224
CCR6- CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,32,22,19.35,-1.4499999999999993,0.2907338192948991,0.3920454545454546,0.6320300419454328
CCR6+ CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,32,57.88984974275195,60.19896551724138,0.5352527154341651,0.3744333721334204,0.5909090909090908,0.7162991641245802
IL-22,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,32,5.73,6.875,0.3600000000000001,0.4344515119704364,0.6325757575757576,0.749054330983511
CCR6- CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,32,45.258481855657465,46.298620411795184,-0.28193429186412544,0.6202317637412365,0.44886363636363635,0.8269756849883152
IL-2,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,32,14.55,17.4,0.25,0.5847003837977167,0.6619318181818181,0.8120838663857176
CCR6+ CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,32,4.70114288226044,5.354308441288497,0,0.9180886114524356,0.5700757575757576,0.9368251137269751
