Readout,Time_Point_std,Condition,Metric,DenominatorGate,DenominatorLabel,LineageGate,n_pos,n_neg,median_pos,median_neg,median_diff_pp,p_value,cliffs_delta,p_adj
PD-1,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,16,5.029940596924617,6.933467856680893,-1.9035272597562756,0.10495383866514424,-0.3504273504273504,0.6782335767121216
IFNy,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,16,15.557420559453949,13.826670429116849,1.7307501303370998,0.7693097730757659,-0.0625,0.9740140036898293
CCR6- CXCR3+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,16,24.75,23.049999999999997,1.7000000000000028,0.4074467497444558,0.1701388888888889,0.8922191600243559
IL-2,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,16,17.1,18.8,-1.6999999999999993,0.7430771478039213,-0.06944444444444445,0.9740140036898293
CCR6+ CXCR3-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,16,2.973655169412961,4.461041540906923,-1.4873863714939617,0.7430771478039213,-0.06944444444444445,0.9740140036898293
IL-22,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,16,3.99,4.935,-0.9449999999999994,0.5927593466284073,-0.1111111111111111,0.9722542905955216
CCR6- CXCR3- / CCR4+,12wks,DosR,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,18,15,1.93,3.48,-1.55,0.1379155248197748,-0.3074074074074074,0.6895776240988739
CCR6+ CXCR3- / CD161+,12wks,DosR,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,18,15,55.24998437102397,46.26756112490732,8.982423246116653,0.23278431124092583,0.24814814814814815,0.8413890767744308
CCR6- CXCR3- / CCR4+,12wks,DosR,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,18,15,3.3049999999999997,6.67,-3.365,0.24689245340247146,-0.24074074074074073,0.8542707006818847
CD45RO+ CD27+ / CXCR5+,12wks,DosR,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,18,15,1.54,2,-0.45999999999999996,0.8281918670559925,-0.04814814814814815,0.9740140036898293
CD45RO+ CD27-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,15,26.044085044861745,38.815948780644746,-12.771863735783,0.03004581675294018,-0.44814814814814813,0.6009163350588036
CD45RO+ CD27+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,15,62.84884439500679,50.9,11.948844395006795,0.0467348372073731,0.4111111111111111,0.6037329858006826
HLA-DR+ CD38+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,15,6.030002915615728,14.693593895360424,-8.663590979744697,0.11161941146171765,-0.3296296296296296,0.6833841518064345
CCR6- CXCR3+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,15,16.296886739876367,7.959911150599735,8.336975589276632,0.0249741683735816,0.46296296296296297,0.5763269624672677
TNFa,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,15,84.0921529769673,92.4,-8.307847023032707,0.05531684944860342,-0.3962962962962963,0.6037329858006826
IL-17a,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,15,12.95,19.8,-6.850000000000001,1,0,1
PD-1,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,15,32.36797481834127,37.983866696518035,-5.615891878176768,0.6414166939662467,-0.10648148148148148,0.9740140036898293
IL-21,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,15,10.037279711867079,15.637600757764037,-5.600321045896958,0.0467348372073731,-0.4111111111111111,0.6037329858006826
CCR6+ CXCR3-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,15,15.083983217417956,20.220059285517834,-5.136076068099879,0.20568017674785308,-0.26296296296296295,0.8206454526162223
CCR6- CXCR3-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,15,60.24202231925615,63.29238311524459,-3.050360795988439,0.6908225314666179,-0.08518518518518518,0.9740140036898293
IL-2,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,15,9.051037816750023,6.091368356278845,2.9596694604711784,0.49204411549607596,0.14444444444444443,0.9649828190142322
CD45RO- CD27+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,15,2.276652359855812,4.13,-1.8533476401441877,0.8565201682728483,0.040740740740740744,0.9740140036898293
CCR6+ CXCR3+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,15,10.714327139394452,9.916084064613493,0.7982430747809595,0.8565320293188863,-0.040740740740740744,0.9740140036898293
CD45RO- CD27-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,15,0.685,1.46,-0.7749999999999999,0.4583594669044346,-0.15555555555555556,0.9291070275089891
IL-22,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,15,3.33,3.08,0.25,0.7723602613354957,0.06296296296296296,0.9740140036898293
IFNy,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,15,12.45,12.6,-0.15000000000000036,0.842351796929719,-0.044444444444444446,0.9740140036898293
IL-22,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,15,23.35,5.39,17.96,0.062122743028419955,0.3851851851851852,0.6037329858006826
IL-17a,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,15,22.8,13.4,9.4,0.5488925432143914,0.1259259259259259,0.9649828190142322
HLA-DR+ CD38+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,15,58.849999999999994,67.7,-8.850000000000009,0.44762317172505445,-0.15925925925925927,0.9145205433922193
CD45RO+ CD27+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,15,57.77924051486059,50.800481579581,6.978758935279586,0.5151460589697516,0.13703703703703704,0.9649828190142322
CD45RO+ CD27-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,15,7.559553346187199,13.793389425300118,-6.233836079112919,0.3113340610241303,-0.2111111111111111,0.8679496205308411
CCR6+ CXCR3+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,15,19.049999999999997,13.9,5.149999999999997,0.5629066444249688,0.12222222222222222,0.9649828190142322
CCR6- CXCR3+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,15,15.44447987201108,10.344709560849342,5.099770311161738,0.14305046161891927,0.3037037037037037,0.7035268604209144
CD107a,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,15,6.838508316026237,11.511624432419799,-4.673116116393562,0.07643659961514977,-0.36666666666666664,0.610768193287416
TNFa,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,15,44.150000000000006,47.5,-3.3499999999999943,0.8565320293188863,-0.040740740740740744,0.9740140036898293
CCR6- CXCR3-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,15,70.02823636144839,72.60590915745937,-2.5776727960109724,0.34716086336995433,-0.1962962962962963,0.8767680436899846
CD45RO- CD27+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,15,7.075932488423103,4.549999999999999,2.525932488423104,0.7163919067318274,0.07777777777777778,0.9740140036898293
IL-2,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,15,33.25,30.9,2.3500000000000014,0.6906999385535015,0.08518518518518518,0.9740140036898293
PD-1,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,15,31.212223211265133,33.434879901224235,-2.222656689959102,0.7994735307539116,-0.06018518518518518,0.9740140036898293
IL-21,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,15,6.005000000000001,7.09,-1.084999999999999,1,0.003703703703703704,1
IFNy,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,15,9.11,8.18,0.9299999999999997,0.5384213269777123,-0.12962962962962962,0.9649828190142322
CCR6+ CXCR3-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,15,17.05,17.6,-0.5500000000000007,0.7861260737752738,-0.05925925925925926,0.9740140036898293
CD45RO- CD27-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,15,0,0.48,-0.48,0.28622451277709865,-0.2037037037037037,0.8679496205308411
IL-21,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,15,15.868997446020089,28.96588234564025,-13.09688489962016,0.0170126401377815,-0.4925925925925926,0.5103792041334451
TNFa,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,15,57.31542392220422,69.73635845291268,-12.420934530708465,0.08923808232644757,-0.35185185185185186,0.6374148737603399
CCR6- CXCR3-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,15,49.32297778230279,40.396456761971585,8.926521020331208,0.11999413811485164,0.32222222222222224,0.6895776240988739
CCR6+ CXCR3+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,15,59.91783172724935,53.656353515222335,6.261478212027015,0.34716086336995433,0.1962962962962963,0.8767680436899846
PD-1,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,15,16.96290378548794,23.123786290357437,-6.160882504869498,0.11722946594320396,-0.3472222222222222,0.6895776240988739
IL-17a,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,15,26.65,30.3,-3.650000000000002,0.5151460589697516,-0.13703703703703704,0.9649828190142322
HLA-DR+ CD38+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,15,10.727100977779013,8.118586545530837,2.6085144322481764,0.7723787612596136,0.06296296296296296,0.9740140036898293
CD107a,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,15,39.45967939092809,42.03830553505536,-2.57862614412727,0.3564719553964093,-0.1925925925925926,0.8767680436899846
CCR6+ CXCR3-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,15,3.8920334590578802,6.2113478820286545,-2.3193144229707743,0.12882114742277964,-0.3148148148148148,0.6895776240988739
CCR6- CXCR3+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,15,20.15,21.7,-1.5500000000000007,0.7723232479553062,0.06296296296296296,0.9740140036898293
IL-2,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,15,15.3,14.4,0.9000000000000004,0.8000221239390546,0.05555555555555555,0.9740140036898293
IFNy,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,15,2.80685977532719,2.9891474368043025,-0.18228766147711228,0.5629066444249688,-0.12222222222222222,0.9649828190142322
IL-22,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,18,15,5.33,5.46,-0.1299999999999999,0.27799536400423036,-0.22592592592592592,0.8679496205308411
CCR6- CXCR3- / CCR4+,12wks,MED,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,18,16,0.9199999999999999,0.8200000000000001,0.09999999999999987,0.767209452582247,0.0625,0.9740140036898293
CCR6+ CXCR3- / CD161+,12wks,MED,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,18,16,36.798140476784795,33.90497378802955,2.893166688755244,0.6896289190580192,0.08333333333333333,0.9740140036898293
CCR6- CXCR3- / CCR4+,12wks,MED,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,18,16,1.585,1.275,0.31000000000000005,0.7672270462996145,0.0625,0.9740140036898293
CD45RO+ CD27+ / CXCR5+,12wks,MED,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,18,16,0.73,0.21,0.52,0.37281760940873526,0.18055555555555555,0.8881628111654951
CD45RO+ CD27+,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,63.54195350147067,52.29068727378625,11.251266227684425,0.2847618688539276,0.21875,0.8679496205308411
CCR6- CXCR3+,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,21.461225311602092,10.887812781151062,10.57341253045103,0.13787411314145037,0.3020833333333333,0.6895776240988739
TNFa,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,79.60970474423614,89.20582123943358,-9.596116495197435,0.019860588142717982,-0.4722222222222222,0.5416524038923086
CD45RO+ CD27-,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,14.681192132861272,22.35160566092648,-7.670413528065209,0.24773850319774657,-0.2361111111111111,0.8542707006818847
PD-1,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,32.00813020183837,39.51216105806055,-7.50403085622218,0.25390608913775575,-0.24786324786324787,0.8655889402423492
IL-21,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,4.715509131133498,9.959671291857376,-5.244162160723878,0.1560646552953459,-0.2881944444444444,0.731174511033237
HLA-DR+ CD38+,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,7.033373954342363,11.395197879569366,-4.361823925227004,0.3250685586750427,-0.2013888888888889,0.8679496205308411
CCR6+ CXCR3+,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,7.147805663526849,11.192638614662286,-4.044832951135437,0.10851737227393946,-0.3263888888888889,0.6782335767121216
IFNy,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,9.92,13.95,-4.029999999999999,0.23949069548101637,-0.23958333333333334,0.845261278168293
CCR6- CXCR3-,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,71.32409222391638,67.74374354243055,3.5803486814858303,0.6168655926757295,0.10416666666666667,0.9722542905955216
IL-22,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,3.795,0.83,2.965,0.1063273253100775,0.3263888888888889,0.6782335767121216
IL-2,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,7.586758832904307,9.948352710013253,-2.3615938771089464,0.8225328692566951,-0.04861111111111111,0.9740140036898293
CD45RO- CD27+,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,6.085,3.94,2.145,0.9587208276420677,0.013888888888888888,0.991783425969113
CD45RO- CD27-,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,0.97,2.71,-1.74,0.7298912092551075,-0.07291666666666667,0.9740140036898293
CCR6+ CXCR3-,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,9.624527533239599,10.100000000000001,-0.47547246676040267,0.6788221327495201,-0.08680555555555555,0.9740140036898293
IL-17a,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,18,16,8.27,8.7,-0.4299999999999997,0.8359327081146772,0.04513888888888889,0.9740140036898293
IL-22,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,20.85,2.07,18.78,0.013093790180925522,0.4965277777777778,0.4541876775032615
IL-2,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,16.1,34.1,-18,0.41675219588528545,-0.16666666666666666,0.8994651709754362
TNFa,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,21.85,35.25,-13.399999999999999,0.0623572958455415,-0.3784722222222222,0.6037329858006826
PD-1,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,20.240151565299982,31.45820238843495,-11.21805082313497,0.5088719288204664,-0.1452991452991453,0.9649828190142322
CD45RO- CD27+,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,19.039340913564367,8.914036732302641,10.125304181261725,0.397204261474057,0.1736111111111111,0.8922191600243559
CCR6- CXCR3+,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,22.985157253767753,14.97774297618526,8.007414277582493,0.17278919963195016,0.2777777777777778,0.750522286717952
CD45RO+ CD27-,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,2.4787629455565736,9.7013528752247,-7.222589929668127,0.03513042629510548,-0.4236111111111111,0.6011686231920323
IFNy,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,7.470000000000001,11.405000000000001,-3.9350000000000005,0.6024345858365313,-0.1076388888888889,0.9722542905955216
IL-17a,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,0.955,3.715,-2.76,0.40407793682831594,-0.16666666666666666,0.8922191600243559
CCR6+ CXCR3+,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,9.55,7.09,2.460000000000001,0.3769003477316947,0.18055555555555555,0.8881628111654951
IL-21,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,18,16,2.385,4.14,-1.755,0.8461326210132682,0.041666666666666664,0.9740140036898293
