Readout,Condition,Metric,DenominatorGate,DenominatorLabel,LineageGate,n,k,kw_stat,kw_p,kw_p_adj
IL-2,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,1.9338368038714764,0.38025302144313944,0.6993204888045936
CCR6+ CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,1.6205449391766802,0.4447368724403274,0.7428414331795132
IL-22,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,1.616196590200999,0.4457048599077079,0.7428414331795132
IFNy,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,1.5176717603867973,0.4682111637683811,0.7700841509348373
CD45RO- CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,0.5138397932117202,0.7734301656655372,0.9339702676716158
CD45RO+ CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,0.2640415140415229,0.8763228050399304,0.9696514431691373
CCR6- CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,0.18533272283271174,0.9114975603252633,0.9696514431691373
PD-1,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,0.13080459770115738,0.9366905580333487,0.9724599833745559
IFNy,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,9.616422466422463,0.008162447361581433,0.18551016730866893
CCR6+ CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,6.881088127332346,0.03204724484240405,0.2967337485407783
CCR6+ CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,5.221840659340671,0.07346689887321158,0.37907641334623837
CCR6- CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,2.8505341880341746,0.24044423341483895,0.6179504048808382
CD107a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,2.5843711843711787,0.2746698103971485,0.6539757390408297
TNFa,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,2.1212301587301567,0.3462427780328132,0.6773353180409958
IL-21,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,2.0823391105555973,0.35304153881399886,0.6773353180409958
CCR6- CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,1.5780824550437957,0.45428013784528753,0.7521194335186879
PD-1,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,29,3,1.4494252873563198,0.48446376268021485,0.7763842350644469
HLA-DR+ CD38+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,1.1035256410256409,0.5759336473395535,0.837112859505165
IL-2,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,1.0411561987062616,0.5941769553508942,0.8453301451987734
IL-22,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,0.6600746784987694,0.7188968898605175,0.9031367963071828
IL-17a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,0.22301587301586778,0.8944842922934143,0.9696514431691373
CCR6- CXCR3- / CCR4+,E6C10,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,37,3,5.205894309348107,0.07405500473427318,0.37907641334623837
CCR6+ CXCR3- / CD161+,E6C10,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,37,3,0.20647405477126313,0.9019131700231228,0.9696514431691373
CCR6- CXCR3- / CCR4+,E6C10,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,37,3,1.0380098927537842,0.5951124222199364,0.8453301451987734
CD45RO+ CD27+ / CXCR5+,E6C10,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,37,3,1.3988787549158985,0.49686377875914467,0.7886211896509159
CCR6- CXCR3+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,13.198752047049254,0.0013612171400836266,0.11210715154876716
CD45RO+ CD27+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,11.087499564141007,0.003911830789078871,0.16299294954495294
CCR6+ CXCR3-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,10.312322937709936,0.0057637817329224406,0.18011817915382627
IFNy,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,8.348865008307726,0.015383919488689658,0.26001542117791526
HLA-DR+ CD38+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,7.04041502803112,0.029593293507504347,0.2967337485407783
CD45RO+ CD27-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,6.605316948970199,0.036785244661998354,0.3015598705273417
IL-2,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,4.0020560144399155,0.13519622907491755,0.4983295538681143
CD45RO- CD27-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,3.2761677827116444,0.19435208545045163,0.5751957676132273
CCR6- CXCR3-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,3.095568185780547,0.2127188171007871,0.5975247671370425
IL-17a,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,2.9494244354925456,0.22884457497737506,0.6179504048808382
PD-1,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,31,3,2.0773676039330695,0.3539202046088866,0.6773353180409958
IL-22,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,1.9960574362572345,0.3686053504955527,0.698116194120365
IL-21,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,1.2245239489821529,0.5421232122565971,0.8030431038403912
TNFa,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,1.0507907288093037,0.5913215306601716,0.8453301451987734
CCR6+ CXCR3+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,0.33327754999579895,0.8465053350077634,0.9663302911047528
CD45RO- CD27+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,0.267241241847782,0.8749219287211881,0.9696514431691373
HLA-DR+ CD38+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,9.809466684468406,0.007411419131905671,0.18551016730866893
CD45RO+ CD27-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,9.677289407939568,0.007917777715788563,0.18551016730866893
IFNy,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,8.253593221520966,0.016134481150593,0.26001542117791526
PD-1,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,31,3,7.203726065206141,0.027272864850926178,0.2967337485407783
CD45RO- CD27+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,4.489782525875298,0.10593905924936067,0.4324769107290041
CD107a,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,3.4530642982655593,0.17790027310829898,0.5629755478110727
CCR6- CXCR3+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,3.2171952598466764,0.20016812712940313,0.5751957676132273
CD45RO+ CD27+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,3.1806543385490755,0.20385890445264418,0.5791446149222846
CCR6+ CXCR3-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,2.6616234540774606,0.2642626650642641,0.641414235592874
IL-22,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,1.836149546025292,0.39928701972677927,0.6993204888045936
IL-17a,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,1.8048685666437403,0.4055811576339435,0.6993204888045936
CCR6- CXCR3-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,1.367512581134875,0.5047175613765862,0.7886211896509159
IL-2,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,1.2423927701788886,0.5373012337270651,0.8030431038403912
TNFa,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,1.0818219403944167,0.5822176278118784,0.8413549534853734
CD45RO- CD27-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,0.3427597005105328,0.8425014882778628,0.9661714315113105
IL-21,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,0.19910015957515992,0.9052446142753282,0.9696514431691373
CCR6+ CXCR3+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,0.17689544367473375,0.9153509623516656,0.9696514431691373
CCR6+ CXCR3-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,12.544652569420364,0.0018878318368133924,0.11210715154876716
HLA-DR+ CD38+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,12.20064632042783,0.002242143030975343,0.11210715154876716
IL-2,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,8.159788396686467,0.016909254585217397,0.26001542117791526
PD-1,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,31,3,5.430308780403649,0.06619473240001776,0.37907641334623837
IL-21,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,5.369018731247834,0.06825467387178744,0.37907641334623837
CCR6+ CXCR3+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,5.143921010794074,0.07638564406326921,0.37907641334623837
CCR6- CXCR3+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,4.11428212608729,0.12781887413014315,0.49161105434670443
TNFa,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,3.4687951994453528,0.17650649582893016,0.5629755478110727
IL-22,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,3.46763136789985,0.17660923763348513,0.5629755478110727
IFNy,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,3.2456339577082645,0.19734200709594432,0.5751957676132273
IL-17a,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,1.8883894952006273,0.38899268210878696,0.6993204888045936
CCR6- CXCR3-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,0.7340927836283839,0.6927775050935896,0.8836447769050888
CD107a,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,0.48887720095150655,0.7831440715626176,0.9339702676716158
CCR6- CXCR3- / CCR4+,GAG,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,29,3,0.061114058355428824,0.9699051175986385,0.9738003188741351
CCR6+ CXCR3- / CD161+,GAG,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,29,3,0.07191704846876235,0.9646803035075594,0.9724599833745559
CCR6- CXCR3- / CCR4+,GAG,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,29,3,0.4199828749717979,0.810591186638938,0.9469523208398809
CD45RO+ CD27+ / CXCR5+,GAG,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,29,3,0.5724486895218568,0.7510940930192418,0.9205483444267946
TNFa,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,7.657236556546906,0.021739633010497177,0.26001542117791526
CCR6- CXCR3+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,6.547036411863985,0.03787294757984228,0.3015598705273417
CCR6+ CXCR3-,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,5.803327706775988,0.054931745606437994,0.37907641334623837
CD45RO- CD27+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,1.8125625792210387,0.40402388171566295,0.6993204888045936
CCR6- CXCR3-,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,1.6519315167590918,0.4378119676515244,0.739547242654602
IFNy,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,1.240102887996456,0.5379167642937989,0.8030431038403912
PD-1,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,24,3,1.2218181818181932,0.5428571381961045,0.8030431038403912
IL-17a,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.8737527070121193,0.6460513084514602,0.8683485328648658
CD45RO- CD27-,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.8206754025390114,0.6634261724421311,0.8729291742659621
CD45RO+ CD27+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.583736736286618,0.7468668409721585,0.9205483444267946
HLA-DR+ CD38+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.2568025078369942,0.8795004053493543,0.9696514431691373
IL-22,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.22394198394198048,0.8940701923382723,0.9696514431691373
CCR6+ CXCR3+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.2145211280466408,0.8982915800253213,0.9696514431691373
IL-2,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.18392762694313633,0.9121381560612093,0.9696514431691373
CD45RO+ CD27-,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.12130214612972168,0.941151575624852,0.9724599833745559
IL-21,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.09976896717472691,0.9513393134582936,0.9724599833745559
CD107a,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,8.165285748734021,0.016862840340642164,0.26001542117791526
IL-22,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,2.738777262341618,0.25426236012584424,0.6356559003146106
IL-2,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,2.6757880700231036,0.26239768745292125,0.641414235592874
