Readout,Condition,Metric,DenominatorGate,DenominatorLabel,LineageGate,comp,p
CD45RO+ CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,1
CD45RO- CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,1
CD45RO- CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.4128445185711139
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.8762696636277617
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.10513382941473097
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,1
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.8197075378297883
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.6506687017725945
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.5253020837689435
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.5411480258767519
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.0644402190426376
CCR6+ CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.2047424651340039
CCR6+ CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.25719030909649104
CCR6- CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.022654494080089353
CCR6- CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,1
CD45RO+ CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,1
CD45RO+ CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,1
CD45RO- CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,1
CD45RO- CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.4128445185711139
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.8762696636277617
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.648503379652976
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,1
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.8197075378297883
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.6506687017725945
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.5143806181929821
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.660549205201673
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.0644402190426376
CCR6+ CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.23904910588753056
CCR6+ CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.04341945724871693
CCR6- CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.0017352777220906693
CCR6- CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.4136367717412639
CD45RO+ CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,1
CD45RO+ CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,1
CD45RO- CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,1
CD45RO- CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.6505003141152003
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.8762696636277617
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.10513382941473097
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,1
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.8197075378297883
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.6506687017725945
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.5261025034906512
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.5411480258767519
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.5868543600227272
CCR6+ CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Neg vs ATB,0.4941245444092639
CCR6+ CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Neg vs ATB,0.35020138917929566
CCR6- CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Neg vs ATB,0.4136367717412639
CCR6- CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Neg vs ATB,0.4833748478671554
CD107a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Neg vs ATB,0.08781752755891362
CD45RO+ CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Neg vs ATB,0.7171527174670546
CD45RO+ CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Neg vs ATB,1
CD45RO- CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Neg vs ATB,0.7554968749288828
CD45RO- CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Neg vs ATB,0.5334165134726944
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Neg vs ATB,0.9606431811191865
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Neg vs ATB,0.6544123932607937
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Neg vs ATB,1
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Neg vs ATB,0.8762696636277617
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Neg vs ATB,0.7554968749288828
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Neg vs ATB,0.9278369065565704
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Neg vs ATB,1
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Neg vs ATB,1
CCR6+ CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs ATB,0.4941245444092639
CCR6+ CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs ATB,0.35020138917929566
CCR6- CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs ATB,0.648503379652976
CCR6- CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs ATB,0.648503379652976
CD107a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs ATB,0.16591811062278455
CD45RO+ CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs ATB,0.7171527174670546
CD45RO+ CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs ATB,1
CD45RO- CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs ATB,0.5429021503817884
CD45RO- CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs ATB,0.5120706557205439
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs ATB,1
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs ATB,0.6544123932607937
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs ATB,0.7411868166138958
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs ATB,0.3585736588312958
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs ATB,0.7411868166138958
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs ATB,0.9278369065565704
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs ATB,1
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs ATB,0.38167587396950486
CCR6+ CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs Neg,0.4941245444092639
CCR6+ CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs Neg,0.1715525565987421
CCR6- CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs Neg,0.0033376489900816255
CCR6- CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs Neg,0.648503379652976
CD107a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs Neg,0.4687382925159274
CD45RO+ CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs Neg,0.7171527174670546
CD45RO+ CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs Neg,1
CD45RO- CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs Neg,0.5429021503817884
CD45RO- CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs Neg,0.5120706557205439
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs Neg,0.9606431811191865
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs Neg,0.7171527174670546
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs Neg,0.21026765882946194
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs Neg,0.3585736588312958
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs Neg,0.7411868166138958
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs Neg,0.9278369065565704
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs Neg,1
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,Pos vs Neg,0.21026765882946194
CCR6+ CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Neg vs ATB,0.7411868166138958
CCR6+ CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Neg vs ATB,0.7554968749288828
CCR6- CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Neg vs ATB,1
CCR6- CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Neg vs ATB,0.2416874239335777
CD107a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Neg vs ATB,0.2614575104092791
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Neg vs ATB,1
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Neg vs ATB,0.6506687017725945
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Neg vs ATB,0.640428787412791
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Neg vs ATB,0.038194092809770507
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Neg vs ATB,0.0644402190426376
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Neg vs ATB,0.17920648015755108
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Neg vs ATB,0.5138908912577136
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Neg vs ATB,0.8762696636277617
CCR6+ CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs ATB,0.7411868166138958
CCR6+ CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs ATB,0.10237123256700195
CCR6- CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs ATB,1
CCR6- CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs ATB,0.06796348224026806
CD107a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs ATB,0.4941245444092639
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs ATB,1
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs ATB,0.6506687017725945
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs ATB,0.5143806181929821
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs ATB,0.060358015679639096
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs ATB,0.0644402190426376
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs ATB,0.12071603135927819
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs ATB,0.5138908912577136
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs ATB,0.38167587396950486
CCR6+ CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs Neg,0.9278369065565704
CCR6+ CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs Neg,0.0706915243795991
CCR6- CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs Neg,1
CCR6- CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs Neg,0.4687382925159274
CD107a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs Neg,0.2614575104092791
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs Neg,1
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs Neg,0.6506687017725945
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs Neg,0.6225224845886475
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs Neg,0.5261025034906512
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs Neg,0.415014989725765
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs Neg,0.415014989725765
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs Neg,0.5138908912577136
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,Pos vs Neg,0.11174445585895995
CCR6- CXCR3- / CCR4+,DosR,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,Neg vs ATB,0.8537761957990148
CCR6- CXCR3- / CCR4+,DosR,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,Pos vs ATB,0.8537761957990148
CCR6- CXCR3- / CCR4+,DosR,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,Pos vs Neg,0.8537761957990148
CCR6+ CXCR3- / CD161+,DosR,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,Neg vs ATB,0.21654579011256075
CCR6+ CXCR3- / CD161+,DosR,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,Pos vs ATB,0.31962285612549707
CCR6+ CXCR3- / CD161+,DosR,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,Pos vs Neg,0.31962285612549707
CCR6- CXCR3- / CCR4+,DosR,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,Neg vs ATB,0.7240614419074005
CCR6- CXCR3- / CCR4+,DosR,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,Pos vs ATB,0.9119482444395097
CCR6- CXCR3- / CCR4+,DosR,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,Pos vs Neg,0.39089606890317
CD45RO+ CD27+ / CXCR5+,DosR,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,Neg vs ATB,0.023734806281379958
CD45RO+ CD27+ / CXCR5+,DosR,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,Pos vs ATB,0.023734806281379958
CD45RO+ CD27+ / CXCR5+,DosR,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,Pos vs Neg,0.524812018482199
CCR6+ CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.5538411043800002
CCR6+ CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.4697377266458753
CCR6- CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.14785611194103848
CCR6- CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.35460277519079125
CD45RO+ CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.6930819368648844
CD45RO+ CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.5220216760239172
CD45RO- CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.4684620722013725
CD45RO- CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.929802739358653
HLA-DR+ CD38+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.2955149967693623
IFNy,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.30490393930847537
IL-17a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.22178416791155772
IL-2,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.7963543563229274
IL-21,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.2955149967693623
IL-22,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.6913022863222844
PD-1,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.3073408407245678
TNFa,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Neg vs ATB,0.30520140068559426
CCR6+ CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.5538411043800002
CCR6+ CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.7400822700705536
CCR6- CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.006804082544773785
CCR6- CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.35460277519079125
CD45RO+ CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.4541326450372447
CD45RO+ CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.5538411043800002
CD45RO- CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.4684620722013725
CD45RO- CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.929802739358653
HLA-DR+ CD38+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.2955149967693623
IFNy,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.30490393930847537
IL-17a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.21267819639522156
IL-2,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.7963543563229274
IL-21,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.2955149967693623
IL-22,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.6913022863222844
PD-1,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.3073408407245678
TNFa,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs ATB,0.4388892375904208
CCR6+ CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.5538411043800002
CCR6+ CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.30022893219734964
CCR6- CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.006804082544773785
CCR6- CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.7756105425420375
CD45RO+ CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.4541326450372447
CD45RO+ CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.5538411043800002
CD45RO- CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.86067128027634
CD45RO- CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.929802739358653
HLA-DR+ CD38+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.7756105425420375
IFNy,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.9475534957826844
IL-17a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,1
IL-2,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.8094071206269623
IL-21,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.49668179200160284
IL-22,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.9301019215079721
PD-1,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,Pos vs Neg,0.8951728848152467
