Readout,Time_Point_std,Condition,Metric,DenominatorGate,DenominatorLabel,LineageGate,n_pos,n_neg,median_pos,median_neg,median_diff_pp,p_value,cliffs_delta,p_adj,note_imbalance
CD45RO+ CD27-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,28.405181825959485,31.215799650124303,-2.8106178241648188,0.23533326650958575,-0.264,0.642893415830767,NA
CD45RO- CD27+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,5.686775966204017,3.7700000000000005,1.9167759662040167,0.7562418948872284,-0.072,0.9492576086450565,NA
IFNy,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,46.45,48.1,-1.6499999999999986,0.476440424923894,-0.16,0.8075261439388033,NA
CD45RO+ CD27+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,32.67294865486214,33.35506026401377,-0.682111609151633,0.6220477036624747,0.112,0.8659042470795568,NA
CCR6- CXCR3-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,67.91826530035306,67.78867062248922,0.12959467786383527,0.7014189107617657,0.088,0.922919619423376,NA
IL-17a,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,10,25,27,16.4,10.600000000000001,0.2281747288079888,0.268,0.642893415830767,NA
CD107a,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,10,25,46.503992589012675,56.99999999999999,-10.496007410987318,0.024725634794028898,-0.496,0.32250827992211606,NA
CCR6- CXCR3-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,10,25,58.680501222721354,51.214213588102965,7.466287634618389,0.8408302496157976,0.048,0.9805069113756153,NA
IL-2,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,10,25,22.799999999999997,15.6,7.1999999999999975,0.25005435341731036,0.256,0.6548632418210314,NA
IL-22,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,10,25,1.73,7.15,-5.42,0.11217181611598265,-0.352,0.4878128400869925,NA
TNFa,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,10,25,67.25134673475537,72.2245283018868,-4.973181567131434,0.33322260186169844,-0.216,0.7191854716439534,NA
HLA-DR+ CD38+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,10,25,24.261879248157662,19.87505561388142,4.386823634276244,0.5838033760701384,0.124,0.8392691157439646,NA
CCR6+ CXCR3-,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,10,25,7.026947851853665,3.0730209698558317,3.953926881997833,0.029807964323144573,0.48,0.3318381405923357,NA
CCR6+ CXCR3+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,10,25,49.52654510637109,53.06084875392379,-3.5343036475527043,0.9854334968467763,0.008,0.9987501657230842,NA
IL-21,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,10,25,14.305654642962681,11.154622017917653,3.151032625045028,0.33322260186169844,0.216,0.7191854716439534,NA
IFNy,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,10,25,11.739611743713967,14.453340858233696,-2.7137291145197295,0.3709937270254194,-0.2,0.7442808672501356,NA
CCR6- CXCR3+,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,10,25,22.75,24.8,-2.0500000000000007,0.42162349256844617,-0.18,0.7807842454971226,NA
PD-1,12wks,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,10,25,6.2223169690456395,5.704265057212251,0.5180519118333882,0.6694625781127147,0.1,0.8966016671152428,NA
CCR6- CXCR3- / CCR4+,12wks,DosR,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,9,25,0.95,3.07,-2.12,0.020103071064480612,-0.5333333333333333,0.3199420834927047,NA
CCR6+ CXCR3- / CD161+,12wks,DosR,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,9,25,62.83920527495486,41.35200974421437,21.487195530740486,0.012472187924109287,0.5733333333333334,0.2458711850403466,NA
CCR6- CXCR3- / CCR4+,12wks,DosR,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,9,25,1.78,7.27,-5.489999999999999,0.013113129868818485,-0.5688888888888889,0.2458711850403466,NA
CD45RO+ CD27+ / CXCR5+,12wks,DosR,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,9,25,0.83,2,-1.17,0.9688497895961076,-0.013333333333333334,0.9974480081847108,NA
IL-17a,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,9,25,25.8,12.3,13.5,0.07893680186952201,0.40444444444444444,0.43412342075824883,NA
CCR6- CXCR3+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,9,25,21.075936160256976,7.959911150599735,13.11602500965724,0.003866105354156378,0.6622222222222223,0.16569022946384476,NA
CCR6- CXCR3-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,9,25,67.0139115089106,56.55301940930507,10.460892099605523,0.5581545782326588,0.13777777777777778,0.8372769741339862,NA
PD-1,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,9,25,27.716972579208555,36.44846011243714,-8.731487533228584,0.777249883206018,-0.0707070707070707,0.9644110515468972,NA
IL-2,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,9,25,13.85275240532025,6.091368356278845,7.761384049041406,0.3487548312896111,0.21777777777777776,0.7278355375127575,NA
CCR6+ CXCR3-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,9,25,12.84260281668313,19.45242410152308,-6.609821284839949,0.035021889828065034,-0.48444444444444446,0.35021889828065034,NA
CD45RO- CD27+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,9,25,1.92,4.13,-2.21,0.7107129826646605,-0.08888888888888889,0.9250278684417164,NA
IL-21,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,9,25,9.951161617918132,12.085754078790291,-2.1345924608721596,0.8759101041833179,-0.04,0.9805069113756153,NA
CD45RO+ CD27-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,9,25,28.03182982125237,29.891885954951782,-1.8600561336994126,0.9067673731397972,-0.03111111111111111,0.985624416674554,NA
TNFa,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,9,25,88.02763035993306,86.31324419840347,1.714386161529589,0.639450075085221,0.1111111111111111,0.8759590069660561,NA
IFNy,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,9,25,11.6,13.3,-1.700000000000001,0.45821009481311337,-0.17333333333333334,0.7971552097700063,NA
IL-22,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,9,25,4.62,3.08,1.54,0.5068737196465689,0.15555555555555556,0.8219669314168175,NA
CD45RO- CD27-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,9,25,0.13,1.46,-1.33,0.5193229035690273,-0.1511111111111111,0.8219669314168175,NA
HLA-DR+ CD38+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,9,25,7.871467056646236,6.932319416640127,0.9391476400061087,0.9067673731397972,-0.03111111111111111,0.985624416674554,NA
CD45RO+ CD27+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,9,25,57.53510197042993,57.286787450287235,0.24831452014269217,0.8759101041833179,-0.04,0.9805069113756153,NA
CCR6+ CXCR3+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,9,25,10.039622499994527,10.155002367584387,-0.1153798675898603,0.7548035100193364,-0.07555555555555556,0.9492576086450565,NA
IL-21,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,9,25,29.9,3.54,26.36,0.02203658642406995,0.5244444444444445,0.3199420834927047,NA
IL-17a,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,9,25,36.1,13.4,22.700000000000003,0.15811029346317396,0.3244444444444444,0.5515475353366533,NA
IL-2,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,9,25,45.7,30.5,15.200000000000003,0.11825116805802234,0.36,0.49145381625135987,NA
CCR6+ CXCR3+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,9,25,9.5,19.7,-10.2,0.09321513336868202,-0.38666666666666666,0.45843508214105916,NA
CCR6+ CXCR3-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,9,25,25,15.8,9.2,0.12286345406283997,0.35555555555555557,0.49145381625135987,NA
PD-1,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,9,25,25.88996133118168,34.898424507817225,-9.008463176635544,0.9479465257819805,-0.020202020202020204,0.9974480081847108,NA
TNFa,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,9,25,55.3,46.5,8.799999999999997,0.9067673731397972,0.03111111111111111,0.985624416674554,NA
CD107a,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,9,25,2.2341249711782343,8.977611339292906,-6.743486368114672,0.028802206224327446,-0.5022222222222222,0.3318381405923357,NA
CCR6- CXCR3+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,9,25,17.48600899306342,11.283240053713381,6.20276893935004,0.031768747930892446,0.49333333333333335,0.3318381405923357,NA
IL-22,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,9,25,12.4,6.36,6.04,0.5188110016696462,0.1511111111111111,0.8219669314168175,NA
CD45RO+ CD27-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,9,25,6.573469852104666,11.672045743428065,-5.0985758913233985,0.21157455170230055,-0.28888888888888886,0.642893415830767,NA
IFNy,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,9,25,7.69,10.9,-3.21,0.3384729943436791,-0.2222222222222222,0.7201553071142108,NA
HLA-DR+ CD38+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,9,25,58.3,60,-1.7000000000000028,0.8299771867394158,0.05333333333333334,0.9805069113756153,NA
CCR6- CXCR3-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,9,25,72.41016399667042,70.95256133372695,1.4576026629434722,0.8452403504095852,0.04888888888888889,0.9805069113756153,NA
CD45RO+ CD27+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,9,25,54.793026375949104,53.40977086339799,1.3832555125511163,0.5581545782326588,0.13777777777777778,0.8372769741339862,NA
CD45RO- CD27+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,9,25,5.061864976846207,4.549999999999999,0.5118649768462085,0.8140204325023727,0.057777777777777775,0.9738851959954595,NA
CD45RO- CD27-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,9,25,0,0,0,0.3445995883250347,-0.2,0.7278355375127575,NA
TNFa,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,9,25,48.14106595764785,67.93442881971875,-19.7933628620709,0.2261988793054759,-0.28,0.642893415830767,NA
CD107a,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,9,25,33.23641532295647,44.96040258616898,-11.723987263212514,0.08582459629829486,-0.39555555555555555,0.43412342075824883,NA
CCR6- CXCR3-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,9,25,36.95496931185379,46.64427200902935,-9.689302697175563,1,0.0044444444444444444,1,NA
IL-17a,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,9,25,35.9,29.9,6,0.5322180176626438,0.14666666666666667,0.8311928216458053,NA
CCR6+ CXCR3+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,9,25,63.6,57.69364350422846,5.90635649577154,0.667611170079932,0.10222222222222223,0.8966016671152428,NA
IL-21,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,9,25,15.807687296416939,18.943675380638208,-3.1359880842212693,0.9377660304714766,0.022222222222222223,0.9974480081847108,NA
HLA-DR+ CD38+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,9,25,11.629411624356397,8.892111660896216,2.737299963460181,0.5846908173016286,0.1288888888888889,0.8392691157439646,NA
IL-22,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,9,25,3.48,6,-2.52,0.27431691913237727,-0.25333333333333335,0.6801245928901917,NA
PD-1,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,9,25,18.926624381907182,21.340852728919536,-2.4142283470123544,0.3493958763864273,-0.2222222222222222,0.7278355375127575,NA
CCR6+ CXCR3-,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,9,25,6.73679049125563,4.5487128004847115,2.1880776907709185,0.31006236468457776,0.23555555555555555,0.7102358016019528,NA
IL-2,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,9,25,15.9,14.4,1.5,0.2258439458897659,0.28,0.642893415830767,NA
CCR6- CXCR3+,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,9,25,20.8,22,-1.1999999999999993,0.6393732769573957,0.1111111111111111,0.8759590069660561,NA
IFNy,12wks,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,9,25,2.1907460584139606,2.9891474368043025,-0.7984013783903419,0.14861455453349812,-0.3333333333333333,0.532884249452317,NA
CCR6- CXCR3- / CCR4+,12wks,MED,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,10,25,0.525,3.66,-3.1350000000000002,0.07407186954130512,-0.392,0.4192747332526705,NA
CCR6+ CXCR3- / CD161+,12wks,MED,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,10,25,40.61095677507724,22.482858173944425,18.128098601132816,0.27048500510204254,0.244,0.6762125127551064,NA
CCR6- CXCR3- / CCR4+,12wks,MED,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,10,25,0.905,6.7,-5.795,0.08682468415164976,-0.376,0.43412342075824883,NA
CD45RO+ CD27+ / CXCR5+,12wks,MED,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,10,25,0.9964011112341342,0.46,0.5364011112341343,0.5779366100120176,0.124,0.8392691157439646,NA
CCR6- CXCR3+,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,29.043653401959617,10.945368342085521,18.098285059874094,0.002030600550399056,0.68,0.12183603302394334,NA
IL-17a,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,23.75,7.27,16.48,0.22107463610579986,0.272,0.642893415830767,NA
CD45RO+ CD27-,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,27.451334374057684,16.46857355265075,10.982760821406934,0.7286732435303449,0.08,0.9341964660645449,NA
CD45RO+ CD27+,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,54.44815768040158,64.32432432432434,-9.876166643922758,0.19484890186122322,-0.288,0.6219579773827901,NA
IFNy,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,5.695,13,-7.305,0.22706498166424455,-0.268,0.642893415830767,NA
PD-1,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,30.112490579344296,36.72323197203491,-6.610741392690613,0.5831063011634798,-0.12727272727272726,0.8392691157439646,NA
TNFa,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,80.65151372183652,85.94659407409479,-5.2950803522582675,0.4993425989454641,-0.152,0.8219669314168175,NA
CCR6- CXCR3-,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,68.0648849706004,71.86317432854382,-3.7982893579434176,0.9563199039155036,-0.016,0.9974480081847108,NA
CD45RO- CD27-,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,0.355,3.17,-2.815,0.9127158105373891,-0.028,0.9885008778383276,NA
CCR6+ CXCR3-,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,7.7874962590632775,10.200000000000001,-2.4125037409367236,0.15439484015715,-0.316,0.5449229652605294,NA
IL-21,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,4.10156409845332,6.40483069629071,-2.30326659783739,0.8404439427823991,-0.048,0.9805069113756153,NA
CCR6+ CXCR3+,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,10.089977991924664,7.8128535724953565,2.277124419429308,0.9563076756918885,0.016,0.9974480081847108,NA
HLA-DR+ CD38+,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,7.033373954342363,8.733664468613512,-1.700290514271149,0.8550317103691568,-0.044,0.9805069113756153,NA
CD45RO- CD27+,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,4.359999999999999,6.06,-1.7000000000000002,0.361276800750211,-0.204,0.7361313268581523,NA
IL-2,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,10.57177988960303,9.576244690484337,0.9955351991186934,0.6091805462278976,-0.116,0.8577006409017633,NA
IL-22,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,10,25,0.94,1.73,-0.79,0.5444394313166616,-0.136,0.8372769741339862,NA
IL-21,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,33.5,1.68,31.82,0.01795356871800693,0.512,0.3168276832589459,NA
IL-17a,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,30.950000000000003,2.34,28.610000000000003,0.05356186510628161,0.416,0.35603140510530334,NA
IL-2,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,38.5,15.4,23.1,0.2973498105220124,0.232,0.7038418729506416,NA
HLA-DR+ CD38+,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,56.650000000000006,44.4,12.250000000000007,0.3796324160315208,0.196,0.7442808672501356,NA
TNFa,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,35.75,25,10.75,0.23520207500988827,0.264,0.642893415830767,NA
CD45RO+ CD27+,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,54.312128844749395,64.44278792396571,-10.130659079216315,0.432251888423771,-0.176,0.7955556228658361,NA
CD107a,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,1.1688812342471502,9.720735294117647,-8.551854059870497,0.04572652826116753,-0.44,0.35603140510530334,NA
PD-1,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,18.11896830447361,26.242642289587586,-8.123673985113975,0.5153356444724089,-0.15,0.8219669314168175,NA
IFNy,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,3.265,8.33,-5.0649999999999995,0.3868183084594151,-0.192,0.7468241652499971,NA
CD45RO- CD27+,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,4.439223792932865,9.32813619813467,-4.888912405201805,0.8121296385225321,-0.056,0.9738851959954595,NA
CCR6+ CXCR3-,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,13.8,9.27,4.530000000000001,0.33247663672977706,0.216,0.7191854716439534,NA
CCR6+ CXCR3+,12wks,MED,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,10,25,3.965,7.69,-3.7250000000000005,0.4976516830520196,-0.152,0.8219669314168175,NA
