"gene","lfc_bcg","padj_bcg","lfc_med","padj_med","sig_bcg","sig_media","opp_sign","bcg_specific","set","timepoint"
"ITM2C",-1.11836893192399,0.386478812244351,-1.13137248278252,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"CPD",0.719566430372865,0.396130627174489,0.128113029405076,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"CHPT1",-0.993181592880768,0.396130627174489,-0.750335161030107,0.615011908073924,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"ENSG00000259001",2.2678597517694,0.396915625823657,0.206755437838869,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"MGST2",-1.17145529118021,0.398285932517119,-0.937359442446681,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"OAS2",1.12616930803603,0.398285932517119,0.552739848755279,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"PAIP2B",-1.5389784277114,0.398285932517119,-0.377675738772049,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"MTCO1P12",2.9525645571688,0.400376743855063,2.3791159228129,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"EGR1",3.75734071135382,0.401332786956815,0.504252919582487,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"PLSCR1",1.14553065691181,0.401332786956815,0.653637792257164,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"ENSG00000285859",2.82181524200231,0.401332786956815,0.854255624553906,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"ADCY8",-3.38078154832641,0.402653565782791,0.362368327748124,0.999615528159732,FALSE,FALSE,TRUE,FALSE,"gdT","week44"
"FCGR3A",1.52679572820385,0.413981185637061,1.20540737914009,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"TYK2",0.564219185698817,0.423364430600713,-0.111435460176032,0.999615528159732,FALSE,FALSE,TRUE,FALSE,"gdT","week44"
"DOCK7",-0.98764717951284,0.423364430600713,-0.312605171211335,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
"MAML3",-0.773654744695668,0.423364430600713,-0.643411077374974,0.999615528159732,FALSE,FALSE,FALSE,FALSE,"gdT","week44"
