"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16","g17","g18","g19","g20","g21","g22","g23","g24","g25"
"PVR",0.0088,0.0046,0.0051,0.0068,0.0037,0.0084,0.0063,0.0068,0.03,0.0057,0.017,0.0056,0.0131,1,0.1837,0.0039,0.0037,0.0064,0.0181,0.0183,0,0.1128,0,0,0.5693,0
"KIR2DL1",0.0127,0.015,0.0073,1,0.0081,0.0064,0.07,0.0135,0.0249,0.0031,0.0119,0.0134,0.0117,0.0358,0.1148,0.144,0.013,0.1428,0.0924,0.3895,0.0019,0.0165,0.0131,0.5285,0.0786,0
"KIR2DL3",0.0122,0.0177,0.0098,1,0,0.0114,0.2305,0.0147,0.0153,0.0062,0.0085,0.0281,0.0074,0.0554,0.1267,0.2742,0.0102,0.2506,0.2282,0.1742,0.0024,8e-04,0.019,0.525,0.0544,0.0384
"KIR3DL1",0.0198,0.0191,0.0183,1,0.0171,0.0198,0.1338,0.0328,0.0211,0.0093,0.0137,0.0351,0.0186,0.0544,0.0805,0.2095,0.0214,0.2491,0.0861,0.3346,0.0077,0.0396,0.0537,0.3238,0.1255,0
"FCGR3A",0.012,0.0117,0.014,1,0.01,0.0012,0.1936,0.0125,0.0096,0.0086,0.048,0.0118,0.0058,0.7969,0.1792,0.0249,0.0181,0.1838,0.195,0.3789,0,0.0046,0.0269,0.5575,0.2862,0.0588
"KLRB1",0.0059,0.0055,0.0094,0.2952,0.0015,0.0039,0.0453,0.186,0.0046,0.0028,0.0052,0.0057,0.0083,0.0232,0.0342,0.0258,0.0013,0.7281,0.0612,0.2161,0.0016,0.0016,1,0.112,0.0307,0
"CD163",0.0275,0.0648,0.0317,0.0407,0.0587,0.0701,0.0466,0.0535,0.1317,9e-04,0.1776,0.1107,0.1079,1,0.1459,0.0368,0.0472,0.0759,0.1387,0.0881,0.0952,0.6504,0,0.1243,0.2493,0.158
"SIGLEC1",0.0123,0.0161,0.0055,0.0024,0.0045,0.0114,0.0052,0.0144,0.0136,7e-04,0.0026,0.0133,0.0021,1,0.0104,0.0034,0.0053,0.0026,0.0141,0.0035,0.003,0.6183,0,0.0166,0.6679,0.0208
"ITGB2",0.4358,0.043,0.4527,0.808,0.2618,0.4599,0.896,0.6685,0,0.3661,0.1659,0.1599,0.4422,1,0.5291,0.7492,0.0499,0.8732,0.9037,0.795,0.3092,0.7437,0.7044,0.5391,0.3755,0.2462
"CXCR3",0.0035,0.0158,0.1254,0.0031,5e-04,0.0022,0.0036,0.0389,0.0157,0.0014,0.0027,0.0932,0.0013,0.0076,0.0152,0.1778,0.0205,0.0113,0.0711,0.0071,0,0.0392,1e-04,0.0051,1,3e-04
"CXCR5",0.0038,1,0.009,0.0012,7e-04,0.0088,0.002,0.047,0.7938,0.003,0.001,0.5876,0,0.0181,0.119,0.0156,0.8686,0.0029,0.002,1e-04,0.0028,0.007,3e-04,0.0269,0.6258,0.0671
"CD19",0.0137,0.9187,0.0124,0.0407,0.0052,0.0296,0.0117,0.0065,0.9881,0.0105,0.0129,1,0.0119,0.0507,0.2339,0.0151,0.9393,0.0175,0.0159,0.0116,0.0158,0.0251,0,0.0956,0.4577,0.848
"CCR4",0.026,0.0049,0.0064,0.0022,0.0047,0.0228,1e-04,1,0.004,0.0114,0.0057,0.0042,0.4088,0.051,0.2037,0.0278,0,0.0193,0.0334,0.0022,0.0352,0.0309,0.6944,0.1633,0.0641,0.0061
"CCR5",0.0039,0.0039,0.0027,0.0093,4e-04,0.0052,0.0147,0.0409,0.0187,0.0024,0.0013,0.0062,0.0119,0.2215,0.4487,0.0104,0.0108,1,0.1499,0.023,0.0017,0.5418,0.0218,0,0.0145,0.0197
"CCR6",0.0095,0.9915,0.0039,0.01,0.001,0.0094,0.0075,0.1964,0.6081,0.0061,0.0069,1,0.0249,0.016,0.1392,0.0025,0.848,0.1143,0.0042,0.0107,0,0.009,0.5671,0.0554,0.4592,0.0906
"CD1C",0.0086,0.7527,0.0049,0.0135,0.0038,0.0201,0.0096,0.0131,0.6486,0.0085,0.0107,1,0.01,0.0501,0.1612,0.0152,0.7228,0.0105,0.011,0.0068,0.0121,0.7206,0,0.0129,0.2961,0.1544
"CD1D",0.0042,0.3277,0.0075,0.0044,0.0033,0.0077,0.0054,0.0082,0.17,0.0089,0.0124,0.6178,0.0062,0.6378,0.0338,0.0067,0.3119,0.0098,2e-04,0.0097,0.0067,1,0.0045,0.0126,0,0.0809
"CD2",0.9142,0,0.9731,0.4372,0.8061,0.9068,0.8797,1,0.0112,0.8583,0.6209,0.0213,0.7674,0.1915,0.8377,0.9214,0.0272,0.8325,0.9964,0.8029,0.7816,0.3831,0.245,0.7311,0.7997,0.1331
"MS4A1",0.0206,0.8715,0.0145,0.0105,0.0073,0.0304,0.0073,0.0102,1,0.0128,0.0104,0.9816,0.0097,0.0376,0.1699,0.0177,0.9298,0.0184,0.0043,0.0128,0.026,0.0046,0,0.1054,0.3755,0.12
"CR2",0.2268,1,0.3383,0.0142,0.1453,0.2777,0.0129,0.0564,0.8037,0.2169,0.104,0.8233,0.0061,0.0626,0.3562,0.3103,0.9898,0.0183,0.0083,0,0.1345,0.0213,0.0549,0.1242,0.5131,0.4168
"CD22",0.0181,1,0.0155,0.0197,0.0096,0.0311,0.0172,0.013,0.7222,0.0189,0.0107,0.9367,0.0279,0.0606,0.2411,0.0107,0.9881,0.0302,0.0163,0.0059,0,0.1765,0.0175,0.0295,0.4984,0.1761
"LAG3",0.0026,0.0068,0.0026,0.0026,5e-04,0.0042,0.001,6e-04,0.0121,0,0.0052,0.0011,0.0013,0.005,0,0.0115,0.0021,0.0034,0.0056,0.0042,0,0,0,0.004,1,0
"GGT1",0.1761,0.0066,0.0161,0,0.0228,0.1822,0.0048,0.8379,0.0089,0.1612,0.035,0.0174,0.2061,0.3653,0.1444,0.0489,0.0025,0.1694,0.1155,0.2953,0.0651,0.0757,0.5568,0.1527,1,0.0102
"CD226",0.0137,0.0018,0.0152,0.0674,0.0018,0.0185,0.1094,0.1325,0.0082,0.0098,0.0032,0.0027,0.0089,0.4316,1,0.0301,0.006,0.154,0.0852,0.0703,0.0072,0.3936,0.3833,0.0453,0.0783,0
"FCER2",0.0075,0.626,0.0108,0.0081,0.0031,0.0085,0.0084,0.0038,0.1955,0.0037,0.0074,0.2438,0.011,0.0652,0.0092,0,0.4371,0.0044,0.003,0.0023,0,0,0.0021,0.0387,1,0.8786
"CD24",0.0055,0.2455,0.0037,0.0039,0.0022,0.0045,0.0034,0.0065,1,0.0038,0.003,0.6003,0.0044,0.0119,0.0361,0.0015,0.3776,1e-04,0.0035,0.002,0,0,0.005,0.0068,0.242,0
"CD244",0.0205,0.0146,0.0105,1,0.0025,0.0094,0.6439,0.0154,0.0218,0.0089,0.0245,0.0275,0.012,0.8169,0.3269,0.4493,0.0181,0.7365,0.7231,0.7846,0,0.4213,0.0745,0.5227,0.0262,0.0934
"IL2RA",0.0057,0.0113,0.006,0.0043,0.0058,0.0064,0.0035,0.2072,0.0156,0.0087,0.0103,0.0692,1,0.009,0.0844,0.0087,0.0112,0.009,0.004,0.028,0.006,0.0262,0.8764,0.1415,0.1335,0
"DPP4",0.7712,6e-04,0.371,0,0.5365,0.807,9e-04,0.4503,0.0073,0.7343,0.4279,0.0269,0.5467,0.0624,0.4461,0.0364,0.0056,0.7146,0.0772,0.08,0.8425,0.1616,1,0.4844,0.4842,0.0963
"TNFRSF13B",0.0097,0.0812,0.0059,0.0122,7e-04,0.0217,0.0141,0.0156,0.14,0.0027,0.0084,0.849,0.0073,0.0875,0.0124,0.0023,0.053,0.011,0.0526,0.0137,0,1,0,0,0.1123,0.0342
"TNFRSF13C",0.0071,1,0.0088,0.0066,0.0038,0.0193,0.0047,0.0056,0.8551,0.0088,0.007,0.8714,0.0076,0.0311,0.1994,0.0094,0.9276,0.0077,0.0071,0.0079,0.0048,0.0069,0,0.0319,0.4154,0.1691
"CD27",0.9589,0,0.8678,0.0265,0.7476,0.9325,0.0559,0.8848,0.003,0.8225,0.5096,0.1322,0.9481,0.0876,0.6511,1,0.0186,0.3683,0.7488,0.0731,0.7574,0.0577,0.4811,0.671,0.6563,0.6419
"TNFRSF14",0.101,0.5812,0.2809,0.0833,0.0027,0.8716,0.0825,0.1513,0.5579,0.1791,0,0.6471,0.1126,0.3414,0.441,0.1544,0.5727,0.1652,0.0714,0.0095,0.0283,0.209,0.1009,0.1409,1,0.275
"BTLA",0.1609,0.6884,0.0824,0,0.0458,0.3512,0.0029,0.1811,1,0.1307,0.0223,0.6484,0.0548,0.0519,0.2252,0.0153,0.5166,0.0164,0.03,0.0065,0.0836,0.3789,0.0281,0.098,0.1834,0.18
"CD274",0.0067,0.0655,0.0312,0.0118,0.0072,0.0233,0.0335,0.0346,0.081,0.0109,0.0295,0.0298,0.0143,0.0183,0.0752,0.0243,0.04,0.0332,0.0066,0.0057,0.0045,0.0042,0,0,1,0
"PDCD1",0.0086,0.0092,0.0037,0.1155,0.003,0.006,0.1863,1,4e-04,0.0058,0.0405,0.0179,0.0943,0.0209,0.1102,0.877,0.0079,0.072,0.9332,0.0011,0,0,0.0656,0.0047,0.1625,0
"CD28",0.6541,0.0028,0.2804,0,0.3875,0.6984,0.0065,1,4e-04,0.59,0.2145,0.0137,0.526,0.046,0.4059,0.4247,0.0067,0.3875,0.5718,0.0024,0.4652,0.0015,0.4381,0.3751,0.4593,0.0312
"ITGB1",0.0145,0.0061,0.0061,0.5492,0,0.0195,0.6671,0.6319,0.1288,0.0067,0.0104,0.2303,0.3254,1,0.7523,0.2324,0.0548,0.4992,0.568,0.4029,0.0211,0.8923,0.9202,0.2272,0.2471,0.7587
"CLEC4C",0.0036,0.006,0.0041,0.0029,9e-04,0.0045,0.002,0.0021,0.0081,0.0027,6e-04,0.0159,0.0015,0.0074,0.0139,0,0.0042,0.0122,0.0018,5e-04,0.0025,1,0.0052,0.0203,0.0066,0.0141
"PECAM1",0.1802,0.0574,0.4972,0.0142,0.1264,0.2595,0,0.0059,0.1013,0.1379,0.0778,0.0181,0.1127,1,0.5941,0.2869,0.1268,0.0149,0.251,0.0545,0.2881,0.5976,0.0723,0.1257,0.038,0.1298
"KLRK1",0.0129,0.01,0.3689,0.3111,0.0038,0.0097,0.2497,0.0105,0.0301,0.0057,0.0261,0.0047,0.0178,0.092,0.087,0.817,0.0175,0.435,1,0.6111,0,0.0117,0.1738,0.0467,0.6629,0
"SLAMF7",0.0033,0.0134,0.0026,0.0263,8e-04,0.0042,0.0216,0.0026,0.0243,0.0036,0.0011,0.0233,0.0037,0.206,0.0053,0.0305,0.0038,0.042,0.059,0.0111,0.0035,0.196,5e-04,0,0.0436,1
"FCGR2A",0.0066,0.869,0.0061,0.0148,0.0026,0.0123,0.0054,0.0052,0.9294,0.0087,0.0088,1,0.0075,0.4534,0.1646,0,0.9002,0.0034,0.0075,0.0144,8e-04,0.1631,0.0029,0.0555,0.2247,0.452
"SIGLEC7",0.0061,0.009,0.0068,0.3382,0.0044,0.0069,0.008,0.0067,0.0051,0.0083,0.0045,0.0119,0.0083,1,0.0719,0.0086,0.0107,0.1111,0.0386,0.5997,0,0.5787,0.0611,0.1302,0.0098,0.0046
"CD33",0.0103,0.0096,0.0085,0.0143,0.0078,0.0083,0.0099,0.0119,0.0114,0.0087,0.012,0.0118,0.0169,1,0.0721,0.0117,0.0099,0.0112,0.0106,0.0432,0.0017,0.8092,0.0563,0.0144,0.0234,0
"NCR1",0.0051,3e-04,0,0.4601,0.0011,0.0077,0.0027,0.0134,0.0102,0.0029,0.0033,0.0064,0.0131,0.0267,0.0404,0.0286,0.0019,0.0032,0.0678,1,0.0043,0.0228,0.0115,0.0865,0.0481,0.0134
"CR1",0.0781,1,0.1577,0.0086,0.031,0.1072,0.0035,0.0947,0.8589,0.1064,0.0424,0.8864,0.006,0.5696,0.2305,0.1865,0.9812,0.0273,0,0.0023,0.0133,0.0119,0.4383,0.0927,0.3497,0.4435
"SLAMF6",0.2493,0.9015,0.3679,0.4449,0.0995,0.3052,0.6498,0.7726,0.8334,0.1977,0.0552,1,0.4285,0.0184,0.4154,0.6652,0.9035,0.741,0.7757,0.242,0.0893,0,0.5834,0.2694,0.571,0.7022
"CD36",0.0048,0.0087,0.0042,0.0088,8e-04,0.005,5e-04,0.0225,0.0225,0.0025,0.0083,0.0277,0.0129,0.9032,1,0.0102,0.0172,0.0327,0.0336,0.0166,0,0.6162,0.0065,0.0076,0.0646,0.0276
"CD38",0.4632,0.3941,0.2585,0.5962,0.2759,0.4873,0.2647,0.3584,0.7661,0.3531,0.2157,0.2053,0.2276,0.1735,0.3872,0.229,0.4368,0.2585,0.6785,0.5011,0.4473,0.463,0,0.437,0.316,1
"ENTPD1",0.0046,0.5185,0.006,0.0175,0,0.0103,0.0042,0.1038,0.1335,0.004,0.0044,0.7245,0.2259,0.49,0.0908,0.0151,0.539,0.0062,0.1015,0.1737,0.0019,0.4088,0.0164,0.061,0.2296,1
"CD3D",1,0.0031,0.8107,0.4069,0.891,0.9945,0.8596,0.9221,0.0134,0.922,0.7152,0.0336,0.8743,0.1416,0.8087,0.7509,0.0257,0.9828,0.8721,0,0.8991,0.0244,0.4601,0.7398,0.822,0.107
"CD40",0.0055,0.9663,0.0049,0.007,0.0023,0.0129,0.0051,0.0054,0.8437,0.007,0.0059,0.7837,0.0048,0.0853,0.1683,0.0054,1,0.0069,5e-04,0.0017,2e-04,0.0423,0,0.025,0.4049,0.1135
"ITGA2B",0.0057,0.009,0.006,0.0136,0.0035,0.006,0.0108,0.0386,0.0216,0.0082,0.0095,0.0137,0.0165,0.4863,1,0.0131,0.0262,0.0405,0.0335,0.0293,0,0.3996,0.0129,0.0318,0.0117,0.0576
"GP1BB",0.0042,0.0117,0.0042,0.0086,0.0021,0.0038,0.0083,0.0221,0.0151,0.0077,0.0089,0.0165,0.0091,0.3077,1,0.0182,0.0152,0.032,0.0215,0.0137,2e-04,0.3885,0.0042,0,0,0
"CD45RA",0.7281,0.7566,0.9773,0.831,0.7266,0.7984,0.6379,0,0.7176,0.6638,0.4784,1,0.6976,0.4618,0.5812,0.6872,0.7525,0.4361,0.5304,0.7114,0.6237,0.536,0.3673,0.7012,0.5222,0.948
"CD45RO",0.0672,0.0072,0.0527,0.0139,0.0124,0.1457,0.2524,1,0.0064,0.0198,0.0188,0.0276,0.2749,0.3038,0.2355,0.2128,0.0051,0.4935,0.6968,0.0986,0.0513,0.0635,0.0981,0.0822,0.1684,0
"CD45",0.8623,0.4912,0.8247,0.4575,0.631,0.8942,0.8006,0.9723,0.4107,0.7583,0.3366,0.7794,0.8538,0.8743,0.6232,0.8727,0.5327,0.8615,1,0,0.6042,0.2389,0.4113,0.5076,0.6165,0.5845
"CD47",0.8397,0.6397,0.3281,0.1203,0.3801,1,0.0427,0.6398,0.9056,0.8392,0.2394,0.5406,0.6286,0.8701,0.9834,0.3714,0.8763,0.2454,0.1168,0,0.69,0.7156,0.1984,0.3518,0.3496,0.6408
"CD48",0.7468,0.4982,0.7054,0.1577,0.5389,0.7831,0.2764,0.7987,0.4943,0.6387,0.1694,0.5887,0.7201,0.5441,0.4547,0.7378,0.5556,0.5901,0.5021,0,0.4883,0.321,0.7333,0.3783,0.4772,1
"ITGA1",0.0639,6e-04,0.0634,0.2365,0.0148,0.0805,0.2011,0.0905,0.0034,0.0539,0.0087,0.0055,5e-04,0.3337,0.1089,0.1247,0.0039,0.2123,0.3882,0.1014,0.0164,0,1,0.1288,0.1906,0.0175
"ITGA2",0.0022,0.0032,0.0031,0.0054,0.0016,0.0019,0.0049,0.0259,0.0056,0.0019,0.0039,0.0033,0.0086,0.7124,1,0.0029,0.0141,0.0337,0.0227,0.0069,0,0.5266,0.013,0.0085,0.0234,0
"ITGA4",0.1745,0.3733,0.3374,0.5976,0.0236,0.2095,0.7258,0.7312,0.5896,0.1475,0,0.6526,0.37,0.7264,0.365,0.4725,0.4253,0.6256,0.8851,0.4441,0.0261,0.859,0.5853,0.3145,0.3884,1
"CD4",0.9457,0.0039,0.0075,0.0021,0.8724,0.953,0.2057,1,0.0076,0.9066,0.752,0.0163,0.9108,0.4217,0.6322,0.0577,0.0101,0.1303,0.1967,0,0.8866,0.6783,0.0921,0.6575,0.7688,0.1395
"CD5",0.9664,0.1144,0.8621,0.0227,0.8549,0.9646,0.5716,1,0.1641,0.9114,0.6984,0.1672,0.8871,0.1212,0.7504,0.7379,0.1422,0.432,0.783,0,0.7909,0.2802,0.3229,0.706,0.8062,0.1299
"CD52",0.7295,0.5233,0.5329,0.0472,0.3949,0.7763,0.1505,0.9525,0.5581,0.6238,0.2379,0.9153,0.5849,0.1542,0.3668,0.7399,0.5791,0.2467,0.2971,0.0127,0.4507,0,0.244,0.4224,1,0.2038
"ICAM1",0.0037,0.1553,0.0028,0.0816,0.0017,0.0039,0.0137,0.0229,0.1792,0.003,0.0021,0.3239,0.0083,0.9534,0.0427,0.2835,0.1766,0.1102,0.0975,0.6011,0,1,0.23,1e-04,0.0199,0.251
"NCAM1",0.0043,0.004,0.0034,0.5086,0.0012,0.0019,0.0135,0.0058,0.0034,0.0031,0.0165,0.0058,0.0087,0.0362,0.0466,0.0262,0.0057,0.1288,0.1023,1,0,0.0711,0.0898,0.2988,0.0203,0.0045
"B3GAT1",0.0189,0.0186,0.0145,0.5487,0.0042,0.0083,1,0.0246,0.0223,0.0105,0.0156,0.0175,0.0228,0.0133,0.2552,0.0223,0.0242,0.5074,0.5166,0.017,0,0.0061,0.0075,0.2433,0.0621,0.0018
"CD58",0.0073,0.0127,0.0022,0.0299,0.002,0.0093,0.0254,0.0714,0.0077,0,0.0048,0.0536,0.0354,1,0.0407,0.0122,0.0106,0.0498,0.0404,0.0183,0.0128,0.2088,0.1556,0.0243,0.2145,0.2057
"SELL",0.9439,0.143,0.7348,0.2998,0.9106,1,0.1596,0.6794,0,0.4941,0.4946,0.3467,0.7292,0.0429,0.6877,0.656,0.0082,0.277,0.4436,0.7984,0.9677,0.6015,0.6914,0.6706,0.6738,0.108
"SELP",0.0048,0.0098,0.0034,0.0129,0.0025,0.0017,0.0221,0.0558,0.0159,0.0061,0.0086,0.0169,0.0282,0.8413,1,0.0118,0.0192,0.0715,0.1256,0.0301,0,0.7957,0.0315,0.0039,0.0328,0.0473
"FCGR1A",0.0083,0.0154,0.0087,0.0109,0.005,0.0079,0.01,0.0074,0.0229,0.0084,0.0075,0.0148,0.0088,1,0.0572,0.002,0.0164,0.0114,0.0053,0.0126,0.0035,0.2443,0.0229,0.0276,0.0294,0
"CD69",0.0917,0.7037,0.2401,0.3315,0.0056,0.1181,0.121,0.3012,0.9153,1,0.0548,0.7846,0.1181,0.3179,0.5199,0.4897,0.7251,0.6149,0.2664,0.1658,0,0.2254,0.3635,0.1506,0.232,0.0585
"CD7",0.9796,0,0.9921,0.5699,0.8905,1,0.1917,0.7754,0.0098,0.8971,0.6857,0.0181,0.8265,0.1632,0.7593,0.9948,0.0064,0.6121,0.4227,0.9065,0.8307,0.1368,0.8934,0.7952,0.8068,0.2115
"TFRC",0.0141,0.0678,0.0095,0.0043,0.0213,0.0503,0.0132,0.1435,0.0159,0.001,0.0211,0.3336,0.1343,0.151,0.1076,0.0343,0.058,0.0269,0.1995,0.0994,0.0168,0.6074,0.2259,0.0543,0,1
"NT5E",0.0332,0.7877,1,2e-04,0.0087,0.0378,0,0.0764,0.1058,0.039,0.0182,0.2649,0.0741,0.0334,0.2471,0.6431,0.7162,0.0173,0.0164,0.0325,0.0068,0.0146,0.329,0.0992,0.3212,0.1293
"CD79B",0.0044,0.2702,0.0039,0.0053,0.0019,0.0047,0.0019,0.0031,1,0.0023,4e-04,0.7486,0.0016,0.0125,0.0324,0.003,0.4441,0.0011,0.0055,0.0024,0.0025,0.0013,0,0.0331,0.3813,0.0799
"CD8A",0.0358,0.0231,1,0.3895,0.0076,0.0513,0.9611,0.0616,0.0313,0.0216,0.0845,0.0246,0.0667,0.1021,0.6257,0.6477,0.0498,0.6421,0.9687,0.0661,0,0.0426,0.1445,0.2796,0.2508,0.0845
"CD81",0.1478,0.2423,0.1095,0.2446,0.0469,0.2163,0.4459,0.1203,1,0.1271,0.0557,0.3259,0.1627,0.1637,0.184,0.4194,0.3974,0.5416,0.4041,0.0521,0.0697,0,0.0346,0.0721,0.3533,0.2085
"CD82",0.0988,0.1477,0.0019,0.001,0.0373,0.1974,0,0.5475,0.4371,0.0716,0.0364,1,0.052,0.032,0.0974,0.0326,0.2386,0.0102,0.0433,0.012,0.8185,0.1913,0.1758,0.0371,0.2072,0.0584
"CD83",0.0047,0.949,0.0025,0.0048,0.0015,0.006,0.0018,0.0065,0.895,0.002,0.0054,1,0.0045,0.1791,0.0546,0.0142,0.3714,0.0057,0.0039,0.0285,0.0024,0.1441,0.0013,0,0.1253,0.0242
"LILRB1",0.0049,0.0635,0.0015,0.0093,0.0021,0.0037,0.0064,0.0077,0.0557,0.0028,0.002,0.187,0.0146,1,0.0093,0.0319,0.0583,0.0086,0.0052,0.0026,0.003,0.1972,0.0034,0,0.3562,0.0091
"CD86",0.007,0.0337,0.003,0.0087,0.0038,0.0072,0.034,0.0107,0.0657,0.0047,0.006,0.1234,0.0038,1,0.046,0.0056,0.042,0.0077,0.16,0.0026,0.0076,0.5955,0.021,0,0.0036,0.6128
"C5AR1",0.0057,0.0113,0.0083,0.0096,0.0031,0.0032,0.0075,0.0125,0.0131,0.0074,0.0063,0.0187,0.0086,1,0.0323,0.0074,0.015,0.0093,0.0214,0.0058,1e-04,0.0109,0.0136,0.0136,0.2498,0
"KLRD1",0.0083,0.0077,0.0074,0.6275,0.0039,0.0045,0.1773,0.0063,0.0157,0.0051,0.0142,0.011,0.0168,0.0237,0.1212,0.117,0.0031,0.4493,0.2801,1,0,0.0142,0.0343,0.3239,0.1161,0.0526
"FAS",0.0143,0.0088,0.014,0.2121,0.0015,0.0085,0.3373,0.9486,0.0132,0.0117,0.0172,0.2346,0.6175,0.5552,0.2589,0.201,0.015,0.3783,1,0.0564,0,0.1535,0.2347,0.0783,0.1623,0.52
