Readout,Condition,Metric,DenominatorGate,DenominatorLabel,LineageGate,n,k,kw_stat,kw_p,kw_p_adj
CD45RO- CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,1.8634689979719155,0.3938699505228614,0.6795532883494619
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,1.3171417327261423,0.5175905121851562,0.7775467966527676
CD45RO- CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,0.7160285601843981,0.6990630922498382,0.853859222869671
CD45RO+ CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,0.36431101366166274,0.8334717197918179,0.9260796886575755
CD45RO+ CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,21,3,0.0798335863270978,0.9608693867280971,0.9764932791952207
CCR6- CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,9.940518356102757,0.006941348756344842,0.2336221604549847
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,8.587764436821054,0.013651822928253,0.2336221604549847
CD107a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,5.950413223140501,0.05103688810314764,0.3013055719552743
CCR6+ CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,4.479380268853955,0.10649149731613908,0.4002025144059441
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,4.355389033751606,0.11330244663481624,0.40465159512434373
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,2.378366222522061,0.30446988052364193,0.6290700010819048
CCR6+ CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,2.145387080452025,0.34208585335340147,0.6398845068166343
CD45RO- CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,1.8455228981544838,0.3974200691221637,0.6795532883494619
CCR6- CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,1.5630252100840318,0.45771314820744485,0.733514660588854
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,1.4977230561646024,0.4729046350338423,0.7343239674438545
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,1.2874571316129817,0.5253300402527441,0.7775467966527676
CD45RO- CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,1.1187946252881318,0.5715534280907552,0.8025165114474611
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,0.8480350818013136,0.6544124028252356,0.8304725924178117
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,17,3,0.75,0.6872892787909721,0.8469880707018044
CD45RO+ CD27+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,0.6937651093495276,0.7068883441142221,0.853859222869671
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,0.27548209366391063,0.8713242947207473,0.9429916609531898
CD45RO+ CD27-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,21,3,0.20127059088098065,0.90426276150756,0.9495341933108565
IL-17a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,7.473997863608247,0.0238254978914217,0.27062757523856734
CCR6+ CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,7.332321358295388,0.025574470296002585,0.27062757523856734
IL-2,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,7.116433350199571,0.02848958562657697,0.27062757523856734
IL-21,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,6.175071681565186,0.04561421672428716,0.3013055719552743
TNFa,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,5.350199583965818,0.06889995238871194,0.3312497710995766
IL-22,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,4.805082363523923,0.09048771514341865,0.354183762586752
CD107a,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,4.574127171529781,0.10156425914813687,0.3906317659543726
CCR6- CXCR3-,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,4.234841411311989,0.12034162502624572,0.4237381162895976
PD-1,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,17,3,1.5063025210084078,0.47088034562264264,0.7343239674438545
IFNy,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,1.0371619722269116,0.5953647797302333,0.8044331621713771
HLA-DR+ CD38+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,0.9411367852926276,0.624647122530158,0.817600945720102
CCR6+ CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,0.504863102265702,0.7769093895869432,0.9080496153247095
CCR6- CXCR3+,BCG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,21,3,0.20127059088098065,0.90426276150756,0.9495341933108565
CCR6- CXCR3- / CCR4+,DosR,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,35,3,0.9679945054944881,0.6163148950827579,0.8109406514246815
CCR6+ CXCR3- / CD161+,DosR,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,35,3,4.420937757894286,0.10964922424775492,0.40312214796968715
CCR6- CXCR3- / CCR4+,DosR,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,35,3,2.2685259014226706,0.3216591126066777,0.6398845068166343
CD45RO+ CD27+ / CXCR5+,DosR,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,35,3,5.095013102499445,0.07827660156358306,0.3485931435414069
CCR6- CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,13.604212454212444,0.0011114317531651858,0.0964693818649942
TNFa,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,3.832937259784555,0.14712560078754988,0.4597675024610934
CD45RO+ CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,3.63075396825397,0.16277653265302866,0.47875450780302553
CCR6+ CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,3.1587301587301653,0.20610591757057553,0.5540481655122997
PD-1,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,2.888218390804596,0.23595617380865583,0.5700375837578063
IL-21,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,2.816849816849796,0.24452813419009736,0.5767808916565623
HLA-DR+ CD38+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,2.224664224664238,0.3287912880556948,0.6398845068166343
IFNy,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,2.0907690152682497,0.3515566171834605,0.6510307725619638
CD45RO+ CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,1.821245421245436,0.4022736459503433,0.6795532883494619
CCR6- CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,1.8211365393606036,0.4022955467028814,0.6795532883494619
CD45RO- CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,1.5935053199910827,0.4507904597398468,0.7318026943828683
CCR6+ CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,1.5460927960928075,0.46160469253028635,0.7343239674438545
IL-2,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,1.366651404151412,0.5049349337457514,0.7697178868075478
IL-17a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,1.2139180264180205,0.5450057067847643,0.7785795811210919
IL-22,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,0.8623878923766874,0.6497328853375152,0.828740925175402
CD45RO- CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,35,3,0.08169195516929897,0.9599769765342692,0.9764932791952207
CCR6- CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,6.047802197802184,0.04861121084272151,0.3013055719552743
IL-17a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,3.875760852622562,0.1440088639184572,0.4597675024610934
CCR6+ CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,3.802909757166297,0.1493511732589099,0.46096041129293175
CD45RO+ CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,2.731486568986554,0.2551909260195737,0.5853002890357195
TNFa,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,2.680983958570153,0.2617168776193377,0.5898720202327324
HLA-DR+ CD38+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,2.1850129839343855,0.3353748250245639,0.6398845068166343
IL-21,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,2.148059616283676,0.34162904028340624,0.6398845068166343
CD45RO- CD27-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,2.1406075198210046,0.34290434100526407,0.6398845068166343
IL-2,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,1.9338368038714764,0.38025302144313944,0.6742074848282614
CCR6+ CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,1.6205449391766802,0.4447368724403274,0.7318026943828683
IL-22,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,1.616196590200999,0.4457048599077079,0.7318026943828683
IFNy,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,1.5176717603867973,0.4682111637683811,0.7343239674438545
CD107a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,1.2164224664224719,0.5443236668585432,0.7785795811210919
CD45RO- CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,0.6605581756744526,0.7187231185579197,0.8558296307863303
CD45RO+ CD27+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,0.4922466422466272,0.7818258033438866,0.9090997713301008
CCR6- CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,35,3,0.38442951015532306,0.8251296486811531,0.9260796886575755
PD-1,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,0.3282183908046079,0.8486493482135364,0.9346358460501502
IFNy,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,9.20218253968254,0.010040872462473645,0.2336221604549847
CCR6+ CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,7.065271432470973,0.029227778125765273,0.27062757523856734
CCR6+ CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,4.091926129426142,0.1292556484622287,0.4365954920896434
CD107a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,3.049023199023196,0.21772736905504184,0.5669983569141714
CCR6- CXCR3-,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,3.0101190476190425,0.2220040789101461,0.5674913499764446
TNFa,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,2.2461270613444384,0.3252817560060116,0.6398845068166343
IL-21,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,1.9696400761066097,0.37350643783443344,0.6694142426330019
HLA-DR+ CD38+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,1.6164224664224633,0.4456545256852654,0.7318026943828683
CCR6- CXCR3+,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,1.5780824550437957,0.45428013784528753,0.7327098997504637
IL-17a,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,1.066425064297399,0.5867170913489244,0.8044331621713771
IL-2,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,1.0411561987062616,0.5941769553508942,0.8044331621713771
PD-1,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,29,3,0.8827011494252872,0.6431671888924402,0.828740925175402
IL-22,DosR,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,35,3,0.6600746784987694,0.7188968898605175,0.8558296307863303
CCR6- CXCR3- / CCR4+,E6C10,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,37,3,5.205894309348107,0.07405500473427318,0.3366136578830599
CCR6+ CXCR3- / CD161+,E6C10,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,37,3,0.3058217594438044,0.858206201978762,0.9369063340379499
CCR6- CXCR3- / CCR4+,E6C10,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,37,3,1.0380098927537842,0.5951124222199364,0.8044331621713771
CD45RO+ CD27+ / CXCR5+,E6C10,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,37,3,2.8892262452633872,0.2358372990223661,0.5700375837578063
CCR6- CXCR3+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,12.947392328197282,0.001543510109839907,0.0964693818649942
CCR6+ CXCR3-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,10.25927298373118,0.005918711582490859,0.2336221604549847
CD45RO+ CD27+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,9.233316563139764,0.009885776406195312,0.2336221604549847
IFNy,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,8.348865008307726,0.015383919488689658,0.2336221604549847
CD45RO+ CD27-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,8.121412434105935,0.01723684186429734,0.2336221604549847
HLA-DR+ CD38+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,6.044610731917231,0.04868884327708001,0.3013055719552743
CD45RO- CD27-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,3.2761677827116444,0.19435208545045163,0.528130666984923
CCR6- CXCR3-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,3.0804831932773276,0.21432931392957472,0.5669983569141714
IL-22,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,1.9960574362572345,0.3686053504955527,0.6694142426330019
IL-2,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,1.903116296305157,0.386138892869431,0.6795532883494619
PD-1,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,31,3,1.7919613593237926,0.408207081900575,0.6849112112425755
CD45RO- CD27+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,1.5967843323508437,0.45005199152229103,0.7318026943828683
IL-17a,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,1.4649487911942083,0.4807180306669455,0.7418488127576319
IL-21,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,1.1081559223974153,0.5746018221963821,0.8025165114474611
TNFa,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,0.39330846407003994,0.8214746238213798,0.9260796886575755
CCR6+ CXCR3+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,37,3,0.3358953823350106,0.8453980553133507,0.9346358460501502
HLA-DR+ CD38+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,9.809466684468406,0.007411419131905671,0.2336221604549847
CD45RO+ CD27-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,8.583645122344834,0.013679969980850458,0.2336221604549847
IFNy,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,8.253593221520966,0.016134481150593,0.2336221604549847
PD-1,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,31,3,8.06214421252372,0.01775528419457884,0.2336221604549847
CD45RO- CD27+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,5.771947819735819,0.05580041848633377,0.3013055719552743
IL-17a,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,3.652705117856471,0.16099973516639743,0.47875450780302553
CD45RO+ CD27+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,3.585605508206129,0.16649287652624095,0.48399092013442135
CCR6- CXCR3+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,3.39830139524689,0.18283874350866633,0.5135919761479392
CCR6- CXCR3-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,3.006046422533351,0.2224566091907663,0.5674913499764446
CCR6+ CXCR3-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,2.6616234540774606,0.2642626650642641,0.5898720202327324
TNFa,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,2.1401773898465706,0.342978095653716,0.6398845068166343
IL-22,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,1.836149546025292,0.39928701972677927,0.6795532883494619
IL-2,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,1.2423927701788886,0.5373012337270651,0.7775467966527676
CD107a,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,0.8961593172119535,0.6388537918024632,0.827530818396973
CD45RO- CD27-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,0.7851604467356925,0.6753121683629496,0.844140210453687
IL-21,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,0.19910015957515992,0.9052446142753282,0.9495341933108565
CCR6+ CXCR3+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,37,3,0.17689544367473375,0.9153509623516656,0.9495341933108565
CCR6+ CXCR3-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,12.971849337174405,0.0015247502259687384,0.0964693818649942
HLA-DR+ CD38+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,8.608867159950762,0.01350853487988785,0.2336221604549847
IL-2,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,8.159788396686467,0.016909254585217397,0.2336221604549847
CCR6+ CXCR3+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,5.858029468611552,0.05344967434111573,0.3013055719552743
IL-21,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,5.718780257479949,0.05730369748897192,0.3013055719552743
PD-1,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,31,3,5.695834052095904,0.057964934662573984,0.3013055719552743
CCR6- CXCR3+,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,4.11428212608729,0.12781887413014315,0.4365954920896434
IL-17a,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,4.0654419285614125,0.130978647626893,0.4365954920896434
IL-22,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,3.46763136789985,0.17660923763348513,0.5074978092916239
TNFa,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,2.6320929509784037,0.26819351839380673,0.5911975141676398
IFNy,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,2.471257635344301,0.2906519378172774,0.615788003850164
CCR6- CXCR3-,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,0.8709133724613451,0.6469691377042135,0.828740925175402
CD107a,E6C10,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,gd TCR,37,3,0.2881408608962772,0.8658267653446167,0.9411160492876267
CCR6- CXCR3- / CCR4+,GAG,Freq. of Grandparent,Proliferating,Freq. of Grandparent: Proliferating,CD4,29,3,0.061114058355428824,0.9699051175986385,0.9792846272946395
CCR6+ CXCR3- / CD161+,GAG,Freq. of Parent,CCR6+ CXCR3-,Freq. of Parent: CCR6+ CXCR3-,CD4,29,3,0.19928602865665934,0.9051604896919346,0.9495341933108565
CCR6- CXCR3- / CCR4+,GAG,Freq. of Parent,CCR6- CXCR3-,Freq. of Parent: CCR6- CXCR3-,CD4,29,3,0.4199828749717979,0.810591186638938,0.9260796886575755
CD45RO+ CD27+ / CXCR5+,GAG,Freq. of Parent,CD45RO+ CD27+,Freq. of Parent: CD45RO+ CD27+,CD4,29,3,1.1248490361572347,0.5698258346565199,0.8025165114474611
CCR6- CXCR3+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,6.448574873402464,0.03978412018241265,0.3013055719552743
TNFa,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,6.164031830238713,0.045866700013196995,0.3013055719552743
CCR6+ CXCR3-,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,5.67430913913671,0.05859214887787232,0.3013055719552743
IL-17a,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,3.6575031060310104,0.16061396067406086,0.47875450780302553
IFNy,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,1.240102887996456,0.5379167642937989,0.7775467966527676
CCR6- CXCR3-,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,1.0234978128547974,0.5994462860597299,0.8044331621713771
PD-1,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,24,3,1.0159393939393766,0.60171600530419,0.8044331621713771
CD45RO- CD27+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.9093523492537137,0.6346534515667981,0.8263716817276017
CD45RO- CD27-,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.8206754025390114,0.6634261724421311,0.8334499653795617
IL-2,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.6102146129732375,0.7370442805158359,0.8732752138813222
HLA-DR+ CD38+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.3740921147817602,0.8294055352507532,0.9260796886575755
CD45RO+ CD27+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.3094661436124758,0.8566438093528381,0.9369063340379499
CD45RO+ CD27-,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.2568025078369942,0.8795004053493543,0.9477375057643904
IL-22,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.22394198394198048,0.8940701923382723,0.9495341933108565
IL-21,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.13131761069676878,0.9364503216311961,0.9674073570570206
CCR6+ CXCR3+,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD4,29,3,0.1135654687761097,0.9447993194711315,0.972015760772769
CD107a,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,7.109293465155545,0.028591473568579003,0.27062757523856734
IL-17a,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,5.95300851285045,0.05097070329935903,0.3013055719552743
IL-22,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,2.738777262341618,0.25426236012584424,0.5853002890357195
IL-2,GAG,Freq. of Parent,Proliferating,Freq. of Parent: Proliferating,CD8,29,3,2.6757880700231036,0.26239768745292125,0.5898720202327324
