"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28"
"MS4A1",0.0418,0.0394,7.2778,0.0463,0.0385,0.0394,7.2928,6.5172,5.3837,0.047,3.2593,0.0489,0.0418,0.034,0.0416,0.5907,0.0351,0.0407,0.0812,0.0795,0.0297,0.0453,1.5595,0.0392,3.2305,0.0584,0.1857,9.2465,1.4032
"CD1C",3e-04,2e-04,0.0149,6e-04,3e-04,3e-04,0.0703,0.021,0.0279,0,0.0173,3e-04,0.0029,2e-04,0,9e-04,0.0021,0.0018,1e-04,0,9e-04,0,0.0169,0,0.0167,0.008,0,0.0827,0.0233
"CXCR5",0.0265,0.0318,0.8045,0.018,0.0122,0.0846,0.7557,0.5408,1.1783,0.019,0.4018,0.0297,0.0139,0.0346,0.0119,0.1272,0.0093,0.0295,0.03,0.0193,0.0129,0.0129,0.1995,0.0153,0.354,0.0224,0.0361,0.8105,0.1693
"CTLA4",0.0337,0.048,0.0023,0.0262,0.0062,0.4138,0.0051,0.003,0.007,0.0679,0.0956,2.0426,0.0033,0.0741,0.0227,0.1132,0.0044,0.0596,0.1151,0.0321,0.0083,0.0619,0.0423,0.0122,0.028,0.0084,0.024,0,0.0153
"ICOS",3.3447,2.8136,0.0342,1.3417,0.068,3.9819,0.0369,0.0383,0.0384,0.4801,1.4635,2.7757,0.037,0.6991,0.0735,2.7483,0.0442,2.4473,1.7045,2.5017,0.1718,0.6247,0.7598,0.179,0.1474,0.1017,0.3032,0.1002,0.2406
"PPBP",0.0058,0.0071,0.0071,0.0051,0.0036,0.0044,0.0034,0.0046,0.0043,0.0079,0.0068,0.0056,0.0164,0.005,0.0035,0.0331,0.0151,0.0053,0.0052,0.0078,0.0057,0.0097,0.0143,0.0041,0.0054,0.0174,0,0,0.0178
"PF4",0.0034,0.005,0.0057,0.0032,0.0055,0.0026,0.0024,0.0065,0.0022,0.0028,0.0035,0.0039,0.0089,0.0035,6e-04,0.0262,0.0069,0.0016,0.003,0.005,9e-04,0.0025,0.0077,0.001,0.0021,0.0033,0.0146,0,0.0039
"FABP5",0.0081,0.0064,0.02,0.0165,0.009,0.0116,0.0553,0.1048,0.452,0.0211,0.0565,0.0081,0.2948,0.0171,0.013,0.1167,0.0812,0.011,0.0106,0.0043,0.0373,0.0186,0.227,0.1068,0.077,0.4884,0.0475,0.0605,0.0827
"CD3D",0.868,0.9817,0.0143,1.284,0.1347,0.799,0.0131,0.0178,0.0198,1.8098,0.5043,0.6532,0.0184,1.1545,1.4091,0.5654,0.0131,1.0277,0.9235,0.7079,0.0192,1.1102,0.3678,0.0902,0.4385,0.0347,0.311,0.0985,0.0857
"CXCL8",0.1539,0.1408,0.1353,0.1432,0.14,0.1381,0.1339,0.1409,0.1758,0.1422,0.1895,0.1677,31.4355,0.1231,0.1166,2.2603,146.3461,0.1575,0.1729,0.218,0.2484,0.1407,24.9482,0.7322,0.1437,32.7229,0.3913,0.6643,0.8539
