"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16","g17","g18","g19","g20","g21","g22","g23","g24","g25"
"CD8B",0.011,0,0.8306,0.1203,0.0121,0.0149,0.9844,0.0079,9e-04,0.0044,0.038,4e-04,0.0177,0.0129,0.3339,0.1852,0.0034,0.2275,1,0.0024,0.0298,0.0012,0.0303,0.0333,0.0153,0.0294
"IGKC",6e-04,0.2407,0.0011,0.0021,0.0011,0.0012,0.0011,3e-04,0.2897,7e-04,0.0029,0.2632,4e-04,0.0061,0.0343,7e-04,0.167,0.0027,0.0012,0.0061,0,0.3469,0.0048,0.0151,0.084,1
"ZEB2",0.0015,0.2865,0.0132,0.714,0.0017,0.0014,0.7295,0.0339,0.351,0.002,0.0334,0.3751,0.0039,1,0.2513,0.2415,0.2471,0.5055,0.5327,0.3442,0,0.5271,0.1325,0.2907,0.1369,0.0324
"SLC4A10",0.0263,0.0162,0.0112,0.054,0.0159,0.0273,0.0338,0.037,0.0025,0.0134,0.0259,0.0301,0,0.0361,0.0181,0.0252,0.0398,1,0.0344,0.1311,0.0377,0.0333,0.0369,0.0792,0.1375,0.1067
"STAT1",0.4678,0.1889,0.1809,0.5179,0.3721,0.4112,0.516,0.3068,0.3042,0.1579,0.2705,0.4348,0.2602,1,0.4484,0.1297,0.2038,0.3424,0.5609,0.3386,0.3487,0.9903,0.1663,0.4607,0,0.709
"CD28",0.7563,0.003,0.3954,0.0101,0.7797,0.7285,0.0151,1,0.0036,0.5946,0.702,0.0034,0.6702,0.0323,0.4437,0.4297,0.0095,0.2352,0.4332,0,0.8076,0,0.3065,0.841,0.4075,0.0336
"CTLA4",0.0275,7e-04,0.016,0.0072,0.0426,0.0275,0.098,0.4486,0,0.0552,0.0793,0.003,1,0.0104,0.1144,0.017,0,0.0446,0.3139,0.0044,0.034,0.0103,0,0.1878,0.1108,0.0353
"ICOS",0.7235,0,0.2519,0.0119,0.6837,0.6809,0.1054,1,0.0017,0.6786,0.6539,8e-04,0.5117,0.0292,0.4116,0.1624,0.005,0.1672,0.3237,0.0055,0.7041,0.0078,0.3917,0.3066,0.4003,0.0321
"IKZF2",0.2078,0.2645,0.6277,0.3348,0.1925,0.1963,0.1169,0.0962,0.5508,0.0804,0.2031,0.0907,0.9311,0,0.2611,1,0.1437,0.208,0.2366,0.3547,0.318,0.126,0.0676,0.2833,0.4047,0.0011
"PDCD1",0.0148,0.0503,0.0257,0.2327,0.0116,0.0105,0.7091,0.9271,0.202,0.0199,0.0281,0.345,0.1124,0.0609,0.3153,0.5408,0.1356,0.452,1,0.0208,0,0.1041,0.3482,0.0691,0.1072,0
"SATB1",0.9278,0.2039,0.7514,0.2485,0.8933,0.9293,0.0804,0.5366,0.1049,0.5527,0.6546,0.0203,0.7223,0.0491,0.5449,0.5901,0.3032,0.3891,0.2563,0.3868,1,0.2228,0.5313,0.6123,0.5642,0
"EOMES",0.0018,3e-04,0.0537,0.6958,0.0057,0.0035,0.6797,0.0143,0,0.0047,0.0227,8e-04,0,0.0081,0.2685,0.2366,0.0029,0.2737,1,0.537,0,0.0022,0,0.1668,0,0
"CCR4",0.0317,3e-04,0.0034,3e-04,0.0189,0.0219,0,1,0,0.0258,0.0275,0.001,0.2223,0.0182,0.0517,0.0266,0,0.0307,0.0133,0,0.0476,0,0.9247,0.0259,0.0375,0
"CX3CR1",0.0017,7e-04,0.0027,1,5e-04,7e-04,0.9941,0.0018,0.0028,0,0.0245,0,0.0021,0.2198,0.2576,0.0074,0.0045,0.3177,0.4039,0.0222,0,0.0479,0.0142,0.46,0.071,0.049
"FOXP1",0.8107,0.7876,0.8008,0.1189,0.833,0.802,0.1544,0.6354,1,0.8137,0.7669,0.8145,0.9961,0.4964,0.6273,0.2727,0.921,0.1013,0.3278,0.1994,0.8294,0.3967,0.2802,0.6296,0.8072,0
"TIGIT",0.0075,0.0086,0.0194,0.9797,0.0085,0.0017,0.4572,0.4527,0.0151,0.0081,0.0514,0.0323,1,0.0159,0.3067,0.4427,0.0116,0.3398,0.8841,0.4324,0.0082,0,0,0.4557,0.2674,0.0693
"LAMP3",0.3441,0.1556,0.482,0.1,0.3394,0.3834,0.0123,0.4766,0.1824,0.3051,0.2759,0.0338,0.9545,0.3061,0.3731,1,0.0875,0.3224,0.3713,0.2922,0.3208,0.8481,0.3521,0.1943,0,0.7532
"BCL6",0.1341,0.3084,0.0904,0.3035,0.1505,0.1229,0.1852,0.1881,0.3907,0.1054,0.1047,0.188,0.2294,0.4631,0.1655,0.4711,0.299,0.2878,0.1448,1,0.2149,0.0975,0.2339,0.1954,0.1084,0
"SPON2",0.0132,0.0052,0.025,1,0.0071,0.0109,0.6261,0.0358,0.0091,0.0031,0.0327,0.0304,0.0194,0.0172,0.1854,0.0446,0.0191,0.4071,0.3512,0.124,0,0.2419,0.0173,0.3776,0.0237,0.0222
"CD38",0.0678,0.115,0.0425,0.8848,0.0535,0.0632,0.4726,0.0681,0.3367,0.0431,0.0785,0.0664,0.0365,0.0499,0.2433,0.0736,0.1246,0.219,0.6863,0.9391,0.0823,0.2061,0,0.3308,0.1385,1
"FGFBP2",0.0183,9e-04,0.05,0.871,0.0148,0.0175,1,0.0044,0.0013,0.0049,0.0372,8e-04,0.0017,0.0081,0.2715,0.0569,7e-04,0.416,0.657,0.1728,0.0192,0,0.002,0.3291,0.0241,0.0341
"HOPX",0.0096,0.0625,0.0167,0.9513,0.0023,0.0069,0.2671,0.0309,0.0293,0.0096,0.0249,0.1432,0,0.0113,0.1282,0.0781,0.0421,0.3474,0.2559,1,0.0056,0.1116,0.2998,0.1929,0.026,0.0362
"SPINK2",0.0842,0.0418,0.1354,0.0013,0.0777,0.0786,0,0.0371,0.0106,0.0818,0.0643,0.0069,0.0679,0.0074,0.0847,0.0425,0.0505,0,0.0104,0.7022,0.0183,1,0.2586,0,0,0
"JCHAIN",9e-04,0.0633,0.0014,0.0016,0.0014,0.001,9e-04,7e-04,0.0628,0.0015,0.0022,0.1064,0.0016,0.0033,0.0105,0.001,0.0506,6e-04,0.0018,0.0023,0.0014,0.2786,0.0016,0,0.0045,1
"PPBP",0.0051,0.0081,0.0116,0.0089,0.0065,0.0048,0.0142,0.0178,0.0142,0.0059,0.0263,0.006,0.0036,0.2838,1,0.0298,0.0117,0.0036,0.0076,0.0493,0.0133,0.2452,0,0,0,0
"AREG",0.1303,0.1227,0.0612,0.1516,0.1291,0.098,0,0.1367,0.2865,0.107,0.2169,0.1409,0.0598,0.275,0.1084,0.5365,1,0.1389,0.019,0.7938,0.0471,0.7803,0.2128,0.263,0.3943,0.0336
"BANK1",0.0017,0.7744,0.0019,0.0023,0.0018,0.0032,0.0028,0.0025,0.5593,0.0011,0.0058,1,0.0033,0.0213,0.1052,0.0026,0.8506,0.0026,9e-04,0.0022,0,0.0349,0,0.0075,0.2224,0.0447
"LEF1",1,0.0017,0.8785,0.0056,0.9578,0.9758,0.0053,0.5257,0.014,0.7314,0.8162,0,0.876,0.0499,0.5219,0.6147,0.0115,0.0234,0.1536,0.0481,0.9932,0.0039,0.2007,0.5756,0.6356,0.0599
"IL7R",1,0.005,0.8756,0.0106,0.9326,0.9759,0.0252,0.6932,0.0172,0.6968,0.6744,0,0.566,0.0602,0.5272,0.7083,0.0033,0.3707,0.095,0.3425,0.9764,0.0811,0.8711,0.5981,0.5698,0.0737
"ITGA1",0.1653,0.0034,0.2921,0.2327,0.0692,0.1273,0.2509,0.0347,0.0029,0.0811,0.078,0,0.0034,0.1939,0.3632,0.2654,0,0.1298,1,0.3831,0.0403,0.0191,0.586,0.0969,0.3135,0
"GZMK",0.0194,1e-04,0.095,0.0447,0.0209,0.0224,0.0185,0.0666,4e-04,0.0097,0.0177,0,0.0016,0.0079,0.0945,0.3244,0,0.4159,0.591,1,0.019,0.0011,0,0.0338,0.0964,0
"GZMA",0.0231,5e-04,0.0154,1,0.0157,0.0247,0.5949,0.0405,0.001,0.0126,0.0407,0.0012,0.0036,0.0103,0.2854,0.0215,0.0015,0.6308,0.8469,0.499,0.0339,0,0.0221,0.2884,0.0927,0.0339
"TCF7",0.9983,0.0204,0.956,0.2097,0.993,0.9897,0.0829,0.6804,0.0063,0.7127,0.7734,0.0432,0.7242,0.0304,0.5766,0.8535,0,0.31,0.3546,1,0.9633,0.0112,0.6252,0.6657,0.6878,0.0417
"MZB1",5e-04,0.0428,0.0011,0.0018,0.0018,4e-04,0.0011,5e-04,0.106,6e-04,0.0023,0.0955,0.0015,0.0028,0.0132,0.0082,0.0783,0.0036,0.006,0.0102,0.0072,0.2383,0,0.0138,0.0116,1
"CSF1R",0.0026,0.0022,0.0023,0.0038,0.0012,0.0013,0.0011,0.002,0.0029,0.0019,0.0046,0.0068,0.0012,1,0.0103,0.0059,0.0028,0.0016,0.0014,0.0026,0,0.3005,0,0,0,0
"HAVCR2",0.0079,0.0078,0.0133,0.5838,0.0081,0.011,0.3356,0.0197,0.0108,0.0065,0.0287,0.0164,0.0087,1,0.1342,0.0392,0.0014,0.1202,0.3645,0.4947,0.0088,0.5676,0.017,0.232,0,0.0409
"IRF4",0.0813,0.6809,0.2223,0.239,0.0613,0.064,0.2181,0.1093,0.8818,0.2085,0.1076,0.8332,0.1304,0.0136,0.2121,0.093,0.9642,0.1858,0.3652,0.0829,0.037,0.9268,0,0.0915,0.3014,1
"SOX4",0.6036,0.0902,0.2773,0.0357,0.5634,0.5897,0,0.1037,0.2671,0.3458,0.5728,0.1652,0.4932,0.1137,0.3681,0.7803,0.2964,0.043,0.0647,0.2791,1,0.4828,0.4458,0.3618,0.3108,0.313
"TNF",0.0773,0.3266,0.0082,0.1334,0.0767,0.086,0.1853,0.0994,0.2444,0.0969,0.1598,0.5775,0.065,1,0.1211,0.0166,0.5907,0.949,0.0775,0.07,0.0894,0.2844,0.1831,0.02,0.1171,0
"NCR3",0.0192,0.1933,0.0614,0.9122,0.0134,0.0213,0.1729,0.0899,0.0993,0.0345,0.0342,0.3578,0.1738,0.0316,0.1754,0.4192,0.3035,1,0.2686,0.8848,0,0.0143,0.9881,0.193,0.1135,0
"HSPA1A",0.0397,0,0.0018,0.3853,0.0275,0.0391,0.1856,0.1146,0.053,0.0366,0.1365,0.0894,0.0855,1,0.1463,0.0559,0.3138,0.6628,0.288,0.4815,0.05,0.8814,0.0772,0.0442,0.084,0.4719
"HSPA1B",0.0037,0.0255,0,0.3507,0.0037,0.0103,0.126,0.063,0.0685,0.0121,0.2117,0.0931,0.0322,0.6988,0.1147,0.0503,0.626,1,0.1879,0.2545,0.0249,0.5443,0.0537,0.0217,0.0804,0.5591
"HLA-DRA",3e-04,0.9821,0.0012,0.0848,7e-04,0.0021,0.1007,0.0129,0.9797,0,0.0185,0.9846,0.0048,0.6649,0.1915,0.0176,1,0.0549,0.1927,0.1587,0.0015,0.9054,0.0048,0.0246,0.2749,0.1518
"HLA-DRB1",8e-04,1,0.002,0.2344,4e-04,8e-04,0.3203,0.0245,0.9708,0.001,0.0248,0.9781,0.0148,0.672,0.2463,0.034,0.9796,0.1631,0.3335,0.225,0,0.9138,0.0085,0.061,0.279,0.1609
"BACH2",0.7818,0.8005,0.8494,0.2073,0.7762,0.7578,0.0316,0.4225,0.9415,0.8463,0.6842,0.63,0.6465,0,0.5944,0.8688,1,0.2489,0.4024,0.9192,0.8025,0.0118,0.5475,0.4961,0.88,0.2117
"PRDM1",0.0136,0,0.0013,0.3079,0.0117,0.0075,0.255,0.0852,5e-04,0.018,0.021,0.0087,0.0451,0.1467,0.0859,0.0015,0.0118,0.2531,0.175,0.0339,0.0099,0.1407,0.0298,0.1309,0.0243,1
"TRGC2",0.0252,9e-04,0.0834,0.5717,0.0185,0.0216,1,0.0554,6e-04,0.0128,0.0612,0,0.0225,0.0214,0.2824,0.9113,0.0023,0.8206,0.5989,0.3837,0.0055,0,0.1511,0.2827,0.0353,0.0452
"TRGV9",3e-04,2e-04,0.0048,0.2955,3e-04,3e-04,0.3387,0.0031,0,0,0.0104,0,0,0.0072,0.1217,0.2016,0,1,0.2239,0.3329,0,0.0034,0.087,0.1038,0,0
"TRBC1",0.3554,0.0014,0.495,1,0.3176,0.3248,0.6188,0.4446,0.0014,0.3278,0.3032,0,0.4115,0.0314,0.4074,0.8664,0.0019,0.7539,0.6613,0.5151,0.3359,0.006,0.6218,0.4836,0.2175,0.0357
"TRBC2",0.67,0.8186,0.806,0.9068,0.6198,0.6625,0.7986,0.7221,0.6843,0.5884,0.544,0.5778,0.7184,0,0.7365,1,0.3361,0.8146,0.9074,0.6316,0.617,0.0314,0.6267,0.7117,0.6306,0.2498
"MYOM2",0.2299,0.0227,0.0134,1,0.2313,0.2572,0.1518,0.2439,0.077,0.127,0.2751,0.1349,0.0461,0.0836,0.2917,0.4443,0.1377,0.2265,0.0435,0,0.2789,0.1188,0.382,0.5471,0.0713,0.0018
"BLK",0.0183,0.8301,0.0196,0.0117,0.0116,0.0267,0.0742,0.0532,0.6646,0.0152,0.0165,1,0.0167,0.0166,0.1284,0.0171,0.5086,0.1334,0.0699,0.0019,0.0063,0.388,0.4114,0,0.2776,0.3653
"TOX",0.4978,0,0.3163,0.7136,0.4522,0.5118,0.5401,0.7299,0.0021,0.2582,0.4381,0.1121,0.8737,0.0512,0.5385,1,0.0117,0.4728,0.7457,0.2888,0.8094,0.1803,0.2959,0.4535,0.5457,0.3973
"PAX5",0.0024,0.7776,0.0013,0.0033,9e-04,0.0032,5e-04,0.0022,1,8e-04,0.01,0.8271,0.0013,0.0124,0.1144,0.0032,0.7406,0.0019,0,0,0,0.0053,0,0,0.2834,0.1247
"FCN1",4e-04,5e-04,7e-04,5e-04,3e-04,2e-04,8e-04,2e-04,0,0,0.009,0.0011,0,1,0.0203,0,7e-04,0.0018,0,0.001,0,0.1609,0,0,0,0
"CLIC3",0.0084,0.0765,0.0944,1,0.0025,0.0085,0.6283,0.058,0.0114,0,0.0268,0.111,0.0564,0.0095,0.2108,0.1772,0.0122,0.5541,0.4148,0.7035,0.0017,0.6337,0.1362,0.3928,0.0507,0.0205
"IL2RA",0.011,0.1331,0.0044,0.029,0.0183,0.0094,8e-04,0.1213,0.1383,0.0287,0.0306,0.2772,0.6864,0.0337,0.07,0.016,0.0921,0.0245,0.0043,0.4097,0.0216,0.0092,1,0.0342,0.0408,0
"GATA3",0.1402,0,0.0991,0.2741,0.1263,0.1406,0.1911,0.3447,0,0.1584,0.1431,1e-04,0.2701,0.0096,0.1714,0.2319,4e-04,0.2577,0.2093,0.5555,0.1488,0.0023,1,0.2342,0.1359,0.0271
"PRF1",0.0045,2e-04,0.0508,1,0.0027,0.0037,0.8281,0.012,0.0015,0.0012,0.0328,0.0019,0.0397,0.0099,0.2327,0.0423,0.0016,0.5567,0.5245,0.6002,0.0026,0,0.0281,0.3622,0.0076,0.0215
"FAS",0.1055,0.1689,0.2797,0.2694,0.0929,0.0725,0.4978,0.66,0.0179,0.1946,0.0503,0.633,0.5434,0.2182,0.2771,0.3692,0.0881,0.4554,0.6554,0.3821,0,0.2791,1,0.1943,0.0659,0.1213
"IFIT2",0.0749,0.0329,0.0319,0.7039,0.0974,0.067,1,0.122,0.0519,0.0014,0.0873,0.1313,0.0679,0.5521,0.2006,0.0258,0.0532,0.4234,0.3947,0.5541,0.0847,0.1925,0.1358,0.1483,0.1485,0
"IFIT3",0.1878,0.0325,0.0478,0.7776,0.1765,0.1566,1,0.167,0.0847,0.1134,0.1311,0.132,0.1321,0.6775,0.2716,0.0036,0.0148,0.3418,0.3927,0.4155,0.1011,0.0638,0.2759,0.3752,0.0867,0
"IFIT1",0.1736,0.0603,0.1004,0.5235,0.2045,0.1616,1,0.165,0.1056,0.0879,0.1447,0.0635,0.1542,0.3059,0.295,0.1365,0.045,0.2932,0.3764,0.3827,0.2722,0.0338,0.1655,0.2,0,0.2183
"ENTPD1",0.0027,0.0608,0.0035,0.083,0.0031,0.0023,0.0358,0.0307,0.0178,0.001,0.0086,0.2558,0.063,0.1743,0.0555,0.019,0.0823,0.0065,0.1504,0.2677,0,0.3634,0.0123,0.0183,0,1
"BLNK",7e-04,0.481,8e-04,7e-04,0.001,0.0016,0.0024,0.0012,0.7645,7e-04,0.0084,1,0,0.0136,0.0732,0,0.3955,0.0016,0,0,0,0.7135,0,0,0.1813,0.7194
"MKI67",0.008,0.0036,0.0043,0.0403,0.0038,0.0105,0.0378,0.0262,0,0.0062,0.0119,0.0129,0.0158,0.0039,0.0677,0.0079,0.0107,0.0181,0.5393,0.0281,0.0399,0.0183,0.0092,0,0,1
"IRF7",0.0548,0.1653,0.0941,0.3043,0.0328,0.0264,0.2116,0.1623,0.2316,0.1132,0.0343,0.1842,0.0966,0.3224,0.1247,0.2776,0.1763,0.1997,0.2484,0.8714,0,1,0.1728,0.1699,0.0592,0.1769
"HBB",0.0867,0.2928,0.3053,0.7981,0.2757,0.2416,0.7039,0.2202,0.3196,0.2336,0.4561,0.4953,0.1398,0.6688,0.4785,0.3295,0.6575,0.8077,0.4651,0.3291,0.1717,0.5137,0.186,0.2004,0,1
"MS4A1",3e-04,0.855,1e-04,5e-04,0,0.0024,0.0016,1e-04,0.8919,6e-04,0.0096,1,2e-04,0.0179,0.117,6e-04,0.8438,0.0026,1e-04,0.0029,5e-04,0.0028,0.0016,0.0037,0.1985,0.0748
"NCAM1",0.0021,0.001,2e-04,0.2557,6e-04,0,0.0046,0.0017,7e-04,0.001,0.004,0,9e-04,0.0143,0.0152,0.0049,0.0049,0.0163,0.0259,1,0,0.007,0,0.2323,0,0
"ZBTB16",0.002,0.0332,0,0.6199,0.001,0.0011,0.0016,0.1199,0.0349,0.0039,0.0084,0.0201,0.003,0.027,0.0563,0.0479,0.0457,0.8988,0.0255,0.4101,0.0023,0.0818,1,0.174,0.0438,0.0572
"CD3E",0.8951,7e-04,0.8119,0.5401,0.9,0.9093,0.9714,0.896,0.0027,0.6455,0.7328,0,0.903,0.0488,0.7327,0.744,0.0069,0.9268,1,0.2788,0.9298,0.0278,0.3182,0.6667,0.5028,0.0428
"CD3D",0.7969,0,0.7734,0.3088,0.7512,0.8011,0.9705,0.7914,0.0015,0.5837,0.5836,0.0039,0.7285,0.0459,0.6828,0.6413,0.0042,0.8011,1,0.0217,0.8004,7e-04,0.3072,0.6059,0.5166,0.047
"CD3G",0.6957,0,0.5644,0.2659,0.6824,0.7122,1,0.5962,4e-04,0.2589,0.4427,5e-04,0.6569,0.032,0.6175,0.4486,0.0046,0.566,0.8908,0.0024,0.7957,0.0018,0.1247,0.5898,0.3976,0.0687
"CXCR5",0.0094,0.4939,0.0055,0.0051,0.0086,0.0076,0.0105,0.1149,0.4192,0.0037,0.013,0.6453,0.0181,0.0164,0.066,0.0186,1,0.0164,0.0277,0,0.0221,0.0055,0.0111,0.0616,0.083,0.0346
"CD27",0.8348,0.0034,0.7648,0.0293,0.7474,0.8288,0.1277,0.8159,0,0.529,0.5394,0.2638,1,0.0297,0.5449,0.5984,0.0034,0.251,0.9143,0.1075,0.721,0.0048,0.1987,0.5475,0.6509,0.9315
"LAG3",0.0124,9e-04,0.0124,0.6296,0.0068,0.014,1,0.127,6e-04,0.0074,0.0318,0,0.0208,0.0055,0.2482,0.0906,0.0072,0.9526,0.7866,0.0055,0,0.0301,0.0118,0.1399,0.026,0
"CD4",0.4043,0.0012,0.0023,5e-04,0.3623,0.4027,0.0595,0.5253,9e-04,0.1287,0.2673,0.0017,0.3023,0.3976,0.1911,0.005,0.0043,0.0213,0.0457,0,0.4975,1,0.0112,0.1762,0.1526,0
"KLRG1",0.1295,0,0.0629,0.3291,0.1117,0.105,0.5419,0.1378,1e-04,0.1398,0.1308,0.0226,0.2106,0.0718,0.2062,0.3499,9e-04,1,0.4638,0.1239,0.0681,0.0406,0.8615,0.3412,0.1166,0.009
"KLRB1",0.0041,0,0.0106,0.5075,0.0018,0.0023,0.1667,0.1953,6e-04,0.0028,0.0152,5e-04,0.0142,0.0064,0.066,0.0541,9e-04,0.6828,0.1423,0.4803,0.0103,0.0018,1,0.2329,0.0312,0.0055
"CD69",0.2154,0.462,0.2018,0.3749,0.239,0.1939,0.1874,0.2324,0.5,0.4432,0.4143,0.3781,0.1709,0,0.2545,0.2771,1,0.6769,0.1637,0.2423,0.1882,0.0154,0.2344,0.2433,0.2307,0.1546
"KLRF1",0.0019,0.0025,0.0022,0.7144,2e-04,6e-04,0.0267,2e-04,0.0036,0.0015,0.0075,0.0028,0,0.0039,0.0449,0.0044,0.0045,0.0374,0.0451,1,0,0.0025,0.0045,0.3137,0,0
"KLRD1",0.0013,0.0019,0.0113,1,0.0011,7e-04,0.7659,0.0057,0.0048,0.0023,0.0276,0.0019,0.0011,0.021,0.1942,0.2197,0.0051,0.5492,0.4817,0.9454,0,0.0062,0.006,0.4062,0,0.024
"KLRC2",0.0019,9e-04,0.0612,1,0.0013,0.0011,0.2124,0.0015,0.0011,3e-04,0.0316,7e-04,0.0014,0.0082,0.0844,0.3056,0.0028,0.1586,0.1793,0.958,0,0.0041,0.0159,0.3589,0,0
"KLRC1",5e-04,6e-04,0.0018,0.2962,2e-04,0.0011,0.0443,9e-04,6e-04,0,0.004,5e-04,5e-04,0.0027,0.0278,0.0142,0,0.1389,0.0714,1,0,0.0011,0.0295,0.1622,0.0172,0
"IFNG",0.0018,0.0011,0.0021,0.4297,0.0026,0,0.3717,0.0228,0.0017,0,0.0075,0.0012,0,0.0051,0.1352,0.0416,0,1,0.2262,0.1646,0.006,0.003,0,0.0738,0.0313,0
"LYZ",0.001,7e-04,0.001,0.0015,0.0017,5e-04,0.0015,0.0017,0.0011,0.0014,0.009,4e-04,0.0017,1,0.0225,8e-04,0.0015,0.0018,0,0.0014,0.0013,0.5126,0,0,0,0.0048
"OAS1",0.0538,0.1776,0,0.3409,0.0298,0.0338,0.3852,0.1449,0.3,0.0045,0.03,0.6325,0.1637,1,0.1848,0.0609,0.1402,0.0965,0.4816,0.136,0.0516,0.1622,0.0425,0.0622,0.0138,0.7264
