"","ADGRG1","ANPEP","B3GAT1","BTLA","C5AR1","CCR4","CCR5","CCR6","CD101","CD14","CD163","CD19","CD1C","CD1D","CD2","CD22","CD226","CD24","CD244","CD27","CD274","CD28","CD33","CD36","CD38","CD3D","CD4","CD40","CD40LG","CD44","CD45","CD45RA","CD45RO","CD47","CD48","CD5","CD52","CD58","CD69","CD7","CD79B","CD81","CD82","CD83","CD86","CD8A","CD99","CLEC12A","CLEC4C","CR1","CR2","CTLA4","CX3CR1","CXCR3","CXCR5","DPP4","ENG","ENTPD1","FAS","FCER1A","FCER2","FCGR1A","FCGR2A","FCGR3A","GGT1","GP1BB","HLA-A","HLA-DRA","HLA-E","ICAM1","ICOS","IFNGR1","IGHD","IGHM","IGKC","IGLC1","IL2RA","IL2RB","IL3RA","IL4R","IL7R","ITGA1","ITGA2","ITGA2B","ITGA4","ITGA6","ITGAE","ITGAL","ITGAM","ITGAX","ITGB1","ITGB2","ITGB7","KIR2DL1","KIR2DL3","KIR3DL1","KLRB1","KLRD1","KLRG1","KLRK1","LAG3","LAMP1","LILRB1","MCAM","MS4A1","NCAM1","NCR1","NECTIN2","NT5E","OLR1","PDCD1","PECAM1","PVR","SELL","SELP","SIGLEC1","SIGLEC7","SLAMF6","SLAMF7","TCR-AB","TCR-vA7.2","TCR-vD2","TFRC","THBD","TIGIT","TNFRSF13B","TNFRSF13C","TNFRSF14","TNFRSF4","TNFRSF9"
"10",3.05,1.34,1.45,7.23,0.86,2.19,0.43,1.77,5.94,1.34,1.18,4.6,4.12,0.8,93.2,4.76,0.64,0.54,2.57,62.74,0.59,45.77,2.68,1.28,60.81,92.56,91.43,1.61,0.37,85.81,88.44,83.03,1.77,30.35,86.03,95.29,38.22,0.43,13.06,91.06,0.27,14.35,8.19,0.43,1.82,4.93,26.34,1.55,1.39,7.55,23.34,0.16,0.48,0.54,0.75,58.99,0.37,2.46,1.71,0.54,0.27,2.19,1.55,2.78,6.53,1.34,18.31,1.61,3.27,1.77,47.81,0.59,3.32,0.59,0.27,0.05,3,1.12,1.5,0.27,42.77,3,0.7,1.93,21.52,1.5,2.94,59.74,1.02,2.14,5.25,50.11,3.75,1.34,1.45,1.87,0.7,1.71,1.87,1.55,0.21,5.03,0.32,2.73,2.36,2.03,2.14,0.43,3.59,0.7,0.96,20.13,0.43,56.32,1.02,0.48,1.77,21.25,0.37,72.43,2.62,0.96,3.53,0.16,0.54,0.16,2.09,2.41,0.27,4.28
"11",4.39,7.03,1.35,54.56,3.31,1.62,1.15,68.63,1.62,0.88,1.89,98.85,88.84,37.73,5.54,80.32,0.2,51.45,2.7,13.59,0.41,3.72,2.5,2.23,40.77,5.54,3.04,81.34,0.14,91.41,96.82,97.57,3.04,45.5,96.35,21.37,80.53,3.31,47.53,5,64.16,41.65,90.06,25.63,11.29,2.1,33.27,1.28,4.26,85.33,85.26,0.61,0.54,11.76,45.3,5,0.61,82.01,12.98,1.42,1.49,3.18,94.46,1.08,2.03,1.49,98.72,97.09,57.81,37.66,3.38,23.6,71.47,69.44,45.17,36.04,11.02,1.22,18.86,2.43,8.25,1.15,0.61,2.16,93.91,0.61,6.9,44.49,4.67,38.13,39.01,41.78,16.16,2.16,4.46,3.58,1.69,1.83,1.89,0.61,0.2,14.81,9.8,3.79,98.44,2.57,4.19,0.2,16.97,0.61,0.54,6.9,0.2,45.3,1.35,1.22,2.5,98.38,2.23,3.11,3.18,2.7,22.52,6.76,2.03,16.9,90.4,23.8,0.54,7.03
"12",2.27,2.5,1.06,11.2,0.68,14.23,0.98,3.1,5.6,1.29,1.06,3.48,3.86,1.51,97.65,5.83,1.36,0.3,1.29,93.26,0.38,72.07,3.1,1.67,50.72,99.09,99.32,1.67,0.15,97.73,99.24,81.53,17.34,53.44,99.02,99.92,71.46,1.74,12.87,94.93,0.45,30.13,7.72,0.45,1.89,2.73,73.5,0.3,2.12,2.04,5.75,0.38,0.38,0.53,0.76,63.29,0.68,15.37,28.69,0.76,0.23,1.97,1.67,0.53,18.93,0.98,31.95,2.04,9.39,3.41,76.76,0.98,2.95,0.61,0.68,0.83,99.17,4.54,1.14,0.68,13.1,1.21,1.21,3.18,67.68,25.51,4.24,87.28,0.98,0.91,43.75,81.91,12.64,1.21,1.59,2.65,1.59,1.36,3.41,0.98,0.15,1.44,0.53,8.18,1.74,1.82,3.79,0.15,7.34,0.45,2.2,24.15,0.15,86.53,2.27,0.53,2.04,73.2,0.53,85.01,4.01,1.89,7.19,0.98,11.2,0.3,2.88,8.86,1.74,18.55
"13",13.02,68.9,1.1,9.94,71.98,6.08,16.34,1.82,83.11,47.36,7.34,4.5,4.58,33.62,21.15,6.24,32.91,1.18,87.61,8.29,0.55,8.13,87.77,47.12,39.54,13.5,70.09,11.44,0.63,97.08,93.84,44.36,31.89,50.43,93.45,11.13,15.86,40.17,35.44,14.36,1.5,20.76,6.16,7.26,85.79,6.08,33.78,98.11,2.92,56.67,4.81,0.47,25.65,1.42,3.31,12.39,0.39,61.4,46.25,3.55,0.63,72.53,57.85,42.23,33.54,20.92,77.43,59.59,55.17,94.24,6.71,25.26,2.76,3.24,14.05,12.87,2.21,3.16,56.43,1.89,11.68,30.31,44.51,41.59,85.24,41.99,7.02,97.63,63.85,98.18,95.58,98.34,3.47,3.55,4.89,4.74,3.55,4.1,3.95,6.24,0.32,26.05,34.33,3.87,3.79,9.08,7.42,2.45,4.5,19.02,0.87,95.19,16.81,14.6,58.48,23.84,79.56,7.34,13.97,8.13,4.81,5.37,12.23,45.38,1.42,2.21,2.84,19.18,2.84,6.24
"14",27.46,5.49,12.36,32.23,6.54,16.24,32.96,8.64,17.53,2.02,2.18,16.48,10.5,2.83,83.6,13.17,76.98,3.23,28.35,58,1.13,51.62,7.03,76.49,70.52,81.02,52.34,14.38,0.4,86.91,91.76,74.64,20.36,71.57,91.36,79.32,45.56,3.15,51.37,71.81,4.04,31.18,14.22,1.94,5.57,31.83,66.96,2.83,3.55,17.12,27.46,1.53,2.18,2.5,10.9,44.75,0.89,9.45,15.51,1.94,0.24,7.67,12.44,10.18,14.62,63.81,56.38,15.43,11.71,6.14,54.68,2.1,13.57,7.92,4.85,8.4,6.62,6.22,9.29,0.97,44.67,10.02,68.82,95.23,59.94,83.6,8.4,79.64,3.15,9.61,89.34,74.15,13,4.12,4.85,3.63,5.41,11.63,15.51,5.01,0,9.29,0.89,5.65,13.41,5.98,10.82,1.29,15.11,0.97,2.91,86.67,5.9,70.36,72.7,0.89,5.41,63.81,0.65,64.78,5.9,4.12,8.24,2.26,6.38,0.4,12.84,21.89,2.18,27.79
"15",5.87,2.89,0.83,4.8,2.07,4.47,0.74,1.24,3.89,0.66,1.24,3.97,3.89,0.83,99.09,3.47,4.05,0.17,34.99,91.65,0.25,46.57,2.15,1.49,39.45,89.91,8.19,1.57,0.17,97.93,99.5,70.89,20.51,37.06,98.92,94.29,78.41,1.41,28.12,97.6,0.66,50.87,5.29,0.83,2.07,37.14,96.28,0.83,0.99,21.17,36.97,0.25,0.41,24.07,2.89,5.29,0.41,2.73,19.02,0.41,0,1.24,0.91,2.15,4.05,1.49,60.3,2.48,18.2,31.27,33.25,1.82,1.82,0.66,0.33,0.41,2.07,8.11,2.07,0.33,48.97,10.26,0.58,2.07,80.31,10.84,4.47,99.83,8.27,11.99,29.86,96.61,24.73,3.97,6.78,3.72,3.97,11.41,31.43,26.39,0.33,2.65,0.91,4.14,1.49,3.64,4.05,0.58,42.68,0.08,14.64,48.22,0.25,66.75,1.16,0.58,2.48,90.49,3.56,18.78,3.39,2.73,6.87,0.99,12.49,0.17,2.89,8.68,0.33,27.3
"16",2.74,3.31,1.23,42.82,1.8,1.7,1.51,65.69,0.85,0.66,1.42,98.96,75.9,25.43,4.91,91.87,0.66,39.98,2.08,3.4,0.57,2.65,1.51,1.32,81,4.82,2.55,93.67,0.19,79.68,91.97,94.33,0.47,63.8,96.31,25.43,62.67,0.76,46.98,3.88,48.02,43.29,30.81,10.3,5.58,2.74,6.33,0.76,2.65,95.75,97.26,0.66,0.76,4.35,65.41,3.78,0.95,63.52,1.42,0.85,3.97,3.02,94.52,1.23,0.66,1.7,87.43,97.26,6.24,26.18,2.93,8.32,96.03,73.82,42.06,40.08,3.02,0.95,34.4,2.27,5.39,1.42,1.13,2.65,81.66,1.42,4.82,33.93,1.42,3.97,11.53,25.52,22.5,1.89,1.32,1.8,0.57,1.23,1.42,0.95,0.28,18.81,3.69,3.97,97.83,1.7,1.8,0.28,47.92,0.57,0.38,24.86,0.19,24.57,1.98,0.28,2.46,96.79,0.95,2.65,3.97,2.84,8.98,1.7,1.13,1.32,96.22,23.82,0.66,3.5
"17",59.73,2.88,29.42,5.42,2.32,2.88,31.31,8.74,14.38,0.66,1.77,3.98,2.88,1.44,84.29,5.75,15.15,0.22,81.42,36.39,0.33,37.28,2.99,3.32,47.23,97.12,7.52,1.77,0.22,95.35,98.89,50,36.84,25.77,94.91,59.18,35.95,4.31,35.84,75,0.44,63.5,2.21,0.44,2.21,46.13,93.69,2.1,1.99,3.1,6.75,0.11,12.06,1.55,1.44,41.7,0.55,1.77,34.18,0.33,0.11,2.43,1.22,15.71,12.61,2.99,61.95,3.54,15.71,18.25,28.87,8.52,2.32,0.33,0.66,1,1.88,12.83,1.88,0.66,37.61,17.48,2.77,5.09,92.48,7.19,4.76,99.45,9.85,17.04,63.5,99.23,23.56,5.42,9.4,5.09,62.28,40.04,85.84,19.36,0.11,5.53,0.44,4.87,1.66,11.28,2.32,0.44,3.1,0.55,2.1,7.19,0.44,32.52,4.76,0.88,8.74,95.13,5.2,32.63,14.49,43.81,3.1,2.54,6.86,0.66,2.43,10.07,1,4.31
"18",48.15,1.7,26.85,7.1,4.69,3.69,7.1,2.13,34.66,1.28,1.85,3.69,3.41,0.14,98.01,3.98,9.66,0.14,65.34,51.7,0.14,37.5,2.13,3.41,90.2,93.47,10.51,0.28,0,95.45,98.86,51.28,47.44,18.32,96.02,87.5,35.8,3.12,25.14,51.42,0.57,46.16,6.25,0.71,12.93,77.84,99.72,0.43,1.42,1.28,4.97,0.57,15.34,9.66,1.42,9.66,0.85,11.79,65.77,0.71,0.14,1.99,1.56,11.22,8.66,2.13,65.77,30.4,44.03,13.78,58.52,0.99,1.85,0.71,0.71,0.57,1.28,11.51,2.7,0.71,7.95,27.84,2.7,5.26,96.31,4.83,10.37,98.72,2.13,9.23,62.78,98.58,60.09,3.41,7.1,2.56,10.94,24.15,39.91,32.81,0.43,1.14,0.85,2.98,0.99,5.26,6.82,0.85,3.84,0.28,17.19,33.24,0.71,46.31,8.66,1.42,3.55,94.74,7.1,71.16,8.95,1.28,14.63,1.7,21.59,1.28,1.14,5.26,0.57,9.09
"19",38.81,1.86,1.36,3.9,0.68,2.2,2.88,2.03,1.86,1.19,1.53,4.07,3.05,1.53,88.64,2.37,7.8,0.17,87.63,10.85,0.17,2.37,7.97,1.69,84.92,2.54,1.86,0.68,0.34,90.34,47.29,78.47,11.19,9.32,64.24,2.37,2.54,0.51,12.03,96.78,1.02,11.19,3.39,2.2,1.86,6.61,33.39,3.05,1.36,1.02,5.25,0.51,0.68,1.02,1.02,11.86,0.85,21.86,6.78,0.85,0.51,1.86,1.36,31.36,27.8,1.36,7.63,3.56,4.41,79.49,1.36,1.86,1.86,0.85,1.02,1.02,4.24,58.47,4.41,0.51,7.12,10,1.19,3.05,84.75,5.25,5.25,93.9,16.27,87.46,64.24,99.15,12.37,8.98,4.24,6.61,30.85,98.64,5.08,28.47,0.17,1.69,0.51,2.54,1.02,99.66,95.59,0.34,3.05,0.17,0.17,13.05,0.51,86.44,2.54,0.68,62.88,45.76,2.03,1.86,1.69,0.85,14.58,0.68,6.95,0.51,1.19,3.22,1.19,17.8
"20",0.25,2.24,0,17.21,0.25,5.49,0.25,1.75,13.22,0.5,1.75,3.74,4.24,1.25,100,3.74,2.24,0,0.5,88.03,0.25,81.55,1.5,0.25,90.52,99.5,100,0.25,0,99.5,99,93.27,16.46,58.6,97.01,100,64.59,0.75,7.48,99.25,1.5,23.19,99.75,0.5,2.49,0.75,60.1,0,2.99,3.74,27.43,0,0,0,1.25,89.78,0.25,1.75,0.25,1.5,0,1.25,1.75,0.75,7.98,0.25,22.19,0.5,9.23,1.25,79.3,1,2,0.5,0.5,0.75,2.24,0.25,1.5,0,74.31,4.24,0,0.5,29.93,4.49,4.24,84.79,0.75,0.75,8.48,76.81,6.23,0.75,1,1.75,1,0,1.25,0,0,1.75,0.25,2.74,3.99,1.25,2.99,0.5,4.49,0.25,0,52.87,0,98.75,0,0.25,1.25,32.92,0.5,93.52,2,2,4.99,2,0.5,0,2.49,4.99,0.5,23.69
"21",14.69,20.94,0.62,32.81,2.19,6.56,36.25,1.56,36.56,0.62,6.25,3.12,36.25,31.87,40.94,23.12,24.06,0,45,1.88,0.31,2.81,50.31,36.88,85.62,4.38,76.25,5.31,0,94.38,67.5,55.94,9.38,45.31,70.31,20.94,1.88,9.69,30.94,13.44,0.62,6.88,15,6.88,35.94,2.19,89.69,66.88,48.12,3.44,4.38,1.25,1.56,7.5,2.5,31.25,0.62,36.25,15.31,46.25,0,18.44,14.37,1.25,8.75,21.88,70,82.5,32.81,89.69,3.12,16.88,1.56,1.88,0.94,4.38,4.69,1.88,82.5,3.44,5.94,2.19,29.69,34.38,97.19,25.62,11.25,85.62,5.31,40.94,95.62,85.94,43.75,1.88,1.88,5,1.56,3.12,2.19,0.62,0,9.06,10,5,0.94,7.5,6.56,2.5,2.19,11.88,0,77.19,3.44,64.38,47.81,13.44,33.75,4.69,17.5,1.56,3.75,3.44,45,49.06,0.31,10,2.81,11.88,0.94,14.06
"22",1.9,2.66,1.52,6.08,0.76,43.35,1.14,32.32,1.14,1.14,1.14,2.66,2.66,0.38,22.43,4.94,33.84,0.38,6.46,36.88,0,54.37,7.6,1.9,7.22,39.92,5.32,0.76,0.76,99.24,83.65,58.17,12.55,19.01,95.82,36.5,32.7,9.51,24.33,92.78,0,10.65,18.25,0.38,3.42,7.6,86.69,1.52,2.28,37.64,12.93,0,0.76,0.38,0.76,80.23,1.14,3.42,23.57,0,0.38,3.42,0.76,2.66,40.68,0.76,52.85,0.38,16.35,31.94,52.85,1.52,0.38,0,0,0,80.23,0.76,3.42,0,84.79,45.25,2.28,3.04,87.45,48.67,33.84,83.27,11.41,8.37,92.02,95.06,26.62,1.14,3.04,1.9,95.06,4.18,63.5,9.13,0,3.42,0.38,4.94,1.52,5.7,4.18,0.38,15.59,0.76,0.38,14.07,0,71.1,2.66,1.14,5.32,87.45,0.38,25.48,6.08,3.42,22.43,2.28,0,0,1.14,6.46,3.42,26.24
"23",38,3,18,14,1,6,0,4,6,0,2,12,4,1,80,5,6,1,38,58,0,48,2,1,71,67,58,4,2,72,81,91,6,30,85,65,47,2,15,89,2,16,6,0,3,12,71,3,6,10,17,0,3,1,3,54,0,7,11,0,1,5,6,36,16,0,26,5,5,1,47,1,4,72,71,72,9,16,0,1,46,14,2,4,59,2,7,89,2,19,31,85,17,14,15,7,15,25,13,4,1,0,0,4,7,26,15,0,8,0,1,22,0,68,1,1,11,50,0,58,3,7,6,1,9,0,4,10,0,11
