"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"IQGAP2",0.112138208311832,-0.216759117750409,0.611,0.647,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"FLT3LG",0.112354329649264,0.60795916357835,0.101,0.071,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"PNO1",0.112377902840429,0.18824887650256,0.155,0.118,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ENSG00000249738",0.11243876113633,0.401589684569657,0.254,0.219,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ZCCHC4",0.112442148412114,0.364982575431912,0.113,0.08,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"CSTF3",0.112570236619972,0.261591221562552,0.343,0.31,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"CLYBL",0.112727560495818,0.54178156254838,0.134,0.099,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ARAP3",0.11280283284949,-0.287150423938936,0.185,0.202,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ZZZ3",0.1128494907815,0.214701753631444,0.451,0.414,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"TCERG1",0.112943491925292,0.189379780880287,0.503,0.45,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ZER1",0.113001793190434,0.401353057014295,0.204,0.184,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ENSG00000272657",0.11307215909391,0.3745376332382,0.104,0.073,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"PARD3",0.11317440674841,0.541151303616085,0.15,0.117,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"RNF10",0.113208439105122,-0.135918401782686,0.544,0.57,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"C2CD5",0.113259577987663,0.269254514932029,0.3,0.25,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"RALA",0.113307055944358,-0.111696181945731,0.573,0.61,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"LCK",0.113334780914174,0.21701516224802,0.155,0.121,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"MAEA",0.113357295578619,-0.142516802467282,0.441,0.464,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"P4HA1",0.113432121707756,-0.187022396581567,0.329,0.329,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"SUMF2",0.113530070940442,0.292725915890673,0.123,0.089,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ENSG00000290578",0.113561880179343,0.368446026679738,0.302,0.308,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"LINC01629",0.113583453933008,0.428584955427246,0.217,0.178,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"HERC1",0.114028474936031,0.136928349239174,0.543,0.541,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"FKBP1A",0.114042214038124,0.132555980307871,0.263,0.215,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"TXNDC12",0.11405765560809,0.382278693610928,0.194,0.152,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ABHD3",0.114060894450671,0.260849816799533,0.239,0.217,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"PPP2R2D",0.114334827580334,-0.129999500069413,0.605,0.636,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"NBR2",0.114437703123531,0.568819511903365,0.11,0.08,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"PTER",0.114459039397445,0.565669500460579,0.143,0.111,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"PRECSIT",0.114547707168685,-0.127759327386304,0.108,0.137,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"IPPK",0.11474006307638,-0.260285654294582,0.209,0.201,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"TFPI2",0.114983051860812,0.562637613607754,0.126,0.109,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"PRDM1",0.115280561121813,-0.270369097135242,0.273,0.309,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"HDHD5",0.11528315846372,0.334535025758892,0.103,0.072,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"AIFM1",0.115438078805352,0.554367860652941,0.113,0.087,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"NDUFA12",0.115601534079724,-0.465353913101935,0.123,0.129,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"RPN1",0.115603765891913,-0.175819031694719,0.392,0.416,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"MCCC2",0.115615894583007,0.11250860629302,0.178,0.141,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"NCSTN",0.115616801357832,0.211898585689328,0.264,0.216,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ENSG00000270299",0.115711325633127,0.39968880349929,0.299,0.255,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"HIRA",0.115731999333855,0.228559258678019,0.382,0.325,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"NPHP3",0.115753807779701,0.519604059058247,0.156,0.128,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"TICAM1",0.115848320515695,0.180922983804759,0.579,0.561,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"KLHL18",0.116015811462387,0.414891992046351,0.27,0.239,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"FCMR",0.116267968258051,0.33722373769166,0.19,0.149,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"DUSP2",0.116682418068408,0.260088022672331,0.467,0.414,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"ABCC4",0.117046830676766,0.565095468613489,0.13,0.104,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"TSNARE1",0.117194896214651,0.177370759504887,0.409,0.441,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"AGPS",0.117654571325037,0.139226224881858,0.327,0.278,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"CXCL1",0.117704571592291,0.104571549808967,0.138,0.166,1,NA,NA,NA,"CD14_Mono_Infl","week12"
"INHBA",0.117751204892399,0.223769168923687,0.793,0.791,1,NA,NA,NA,"CD14_Mono_Infl","week12"
