"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"ZNF286A",0.374378625573629,0.105823125689823,0.104,0.06,1,NA,NA,NA,"MAIT","week12"
"CPT1A",0.374391951812462,0.102714227399264,0.177,0.126,1,NA,NA,NA,"MAIT","week12"
"D2HGDH",0.374612733605062,-0.149237711222586,0.333,0.335,1,NA,NA,NA,"MAIT","week12"
"TRIM22",0.374770310931506,0.330026848216447,0.521,0.456,1,NA,NA,NA,"MAIT","week12"
"SMAD7",0.374971583716599,-0.233694478841411,0.121,0.137,1,NA,NA,NA,"MAIT","week12"
"BRD2",0.375088915959885,-0.180822635022067,0.603,0.632,1,NA,NA,NA,"MAIT","week12"
"PUDP",0.375111044598136,0.196374699421738,0.27,0.247,1,NA,NA,NA,"MAIT","week12"
"PEPD",0.375131244443243,-0.376770435184078,0.175,0.203,1,NA,NA,NA,"MAIT","week12"
"COTL1",0.375224944980621,-0.245191757778387,0.216,0.242,1,NA,NA,NA,"MAIT","week12"
"INTS9",0.37525241583101,0.304740986921793,0.259,0.203,1,NA,NA,NA,"MAIT","week12"
"TBC1D22A",0.375644020663833,-0.175693497458299,0.907,0.923,1,NA,NA,NA,"MAIT","week12"
"DENND1A",0.375688716695366,0.136702958305376,0.672,0.654,1,NA,NA,NA,"MAIT","week12"
"ZBTB2",0.375777563075925,0.607417775908348,0.166,0.11,1,NA,NA,NA,"MAIT","week12"
"RAB18",0.375806133418501,-0.252487585259329,0.333,0.341,1,NA,NA,NA,"MAIT","week12"
"GMDS-DT",0.375941890960881,0.114721811498206,0.408,0.335,1,NA,NA,NA,"MAIT","week12"
"RPUSD3",0.376506410366427,-0.794905226514638,0.102,0.115,1,NA,NA,NA,"MAIT","week12"
"UTP6",0.377110263072475,0.465607788178289,0.222,0.165,1,NA,NA,NA,"MAIT","week12"
"ZHX2",0.377258067069357,0.137046453484313,0.832,0.83,1,NA,NA,NA,"MAIT","week12"
"FCF1",0.377274690782748,0.160544619611491,0.147,0.154,1,NA,NA,NA,"MAIT","week12"
"GRK6",0.377719063382668,-0.176830268446345,0.199,0.209,1,NA,NA,NA,"MAIT","week12"
"UFD1",0.377827050655491,-0.308404103456525,0.192,0.209,1,NA,NA,NA,"MAIT","week12"
"MTMR2",0.377852358748632,-0.124936099380688,0.151,0.176,1,NA,NA,NA,"MAIT","week12"
"ZNF544",0.377864468040233,0.401068224494878,0.361,0.28,1,NA,NA,NA,"MAIT","week12"
"BCAP31",0.377865787098714,-0.811073836620191,0.136,0.154,1,NA,NA,NA,"MAIT","week12"
"CCDC126",0.377915958686829,0.167082423790118,0.164,0.159,1,NA,NA,NA,"MAIT","week12"
"ADAT2",0.378033473626385,0.84994851939562,0.108,0.071,1,NA,NA,NA,"MAIT","week12"
"MSANTD4",0.378272212132523,0.149044302898164,0.117,0.115,1,NA,NA,NA,"MAIT","week12"
"GLRX",0.378307029427381,-0.433403837843541,0.259,0.269,1,NA,NA,NA,"MAIT","week12"
"HACD3",0.378416725935875,-0.334013363086,0.173,0.192,1,NA,NA,NA,"MAIT","week12"
"SETX",0.37845653709246,-0.159543947003252,0.747,0.791,1,NA,NA,NA,"MAIT","week12"
"PARP1",0.378562142263035,0.331025692196122,0.374,0.324,1,NA,NA,NA,"MAIT","week12"
"MSI2",0.378698231726881,-0.248187328705305,0.788,0.802,1,NA,NA,NA,"MAIT","week12"
"BAHD1",0.37893291327469,0.299512651292175,0.125,0.115,1,NA,NA,NA,"MAIT","week12"
"TBCB",0.379006087419707,-0.551556777097441,0.102,0.126,1,NA,NA,NA,"MAIT","week12"
"SIPA1L2",0.379388121897549,0.478461104438186,0.125,0.115,1,NA,NA,NA,"MAIT","week12"
"RUFY3",0.379579577187076,0.176309714995292,0.341,0.286,1,NA,NA,NA,"MAIT","week12"
"UBE2Z",0.379969397622281,0.233118746807099,0.361,0.28,1,NA,NA,NA,"MAIT","week12"
"RTCA",0.380327930269852,-0.152955875637673,0.225,0.236,1,NA,NA,NA,"MAIT","week12"
"SH3BP1",0.380426361455085,-0.531943768113924,0.158,0.176,1,NA,NA,NA,"MAIT","week12"
"SLC35A3",0.380669129869157,0.304689274138396,0.3,0.264,1,NA,NA,NA,"MAIT","week12"
"C1orf52",0.381123375104422,-0.200339929349539,0.238,0.247,1,NA,NA,NA,"MAIT","week12"
"KAT5",0.381521474346598,0.203712512017404,0.13,0.137,1,NA,NA,NA,"MAIT","week12"
"CYB5R3",0.381896319913801,0.370341920564301,0.166,0.121,1,NA,NA,NA,"MAIT","week12"
"QRSL1",0.381982879768048,-0.381583631248545,0.156,0.176,1,NA,NA,NA,"MAIT","week12"
"CAPN15",0.382050052665257,0.720208337053892,0.175,0.126,1,NA,NA,NA,"MAIT","week12"
"PPARD",0.38213959920653,-0.239103513456174,0.365,0.363,1,NA,NA,NA,"MAIT","week12"
"COX11",0.382169971687103,0.223954280710612,0.168,0.143,1,NA,NA,NA,"MAIT","week12"
"ST8SIA1",0.382219446565803,0.49262450497898,0.125,0.077,1,NA,NA,NA,"MAIT","week12"
"PPP1R7",0.382640971435425,0.105932780931026,0.201,0.187,1,NA,NA,NA,"MAIT","week12"
"ACTN1",0.382794781634222,-0.122252527758326,0.216,0.203,1,NA,NA,NA,"MAIT","week12"
"UBE2Q2P2",0.383166150053369,-0.356459507665605,0.138,0.137,1,NA,NA,NA,"MAIT","week12"
"FAM102B",0.38324079495085,-0.144678632746172,0.294,0.324,1,NA,NA,NA,"MAIT","week12"
"CDKN1A",0.383311970469094,0.48268614551543,0.145,0.099,1,NA,NA,NA,"MAIT","week12"
"HPRT1",0.3841392710961,0.433502606239455,0.151,0.099,1,NA,NA,NA,"MAIT","week12"
"TENT5C",0.384144493707816,0.448165771611913,0.156,0.126,1,NA,NA,NA,"MAIT","week12"
"SH2D2A",0.384302850517775,0.233751709688999,0.359,0.297,1,NA,NA,NA,"MAIT","week12"
"EPB41L5",0.384641554624404,0.399641191565375,0.188,0.137,1,NA,NA,NA,"MAIT","week12"
