"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"AK5",6.5357683740054e-06,-1.22253813575873,0.059,0.122,0.409858034733878,NA,NA,NA,"Treg","week12"
"ENSG00000267645",6.79785966200252e-06,-0.864071789985517,0.16,0.241,0.426293779404178,NA,NA,NA,"Treg","week12"
"PDE7A",7.39922992501604e-06,-0.322206978413114,0.731,0.773,0.464005708597756,NA,NA,NA,"Treg","week12"
"SRSF6",7.7862886001507e-06,-0.471251440927591,0.447,0.499,0.488278158115451,NA,NA,NA,"Treg","week12"
"GRAMD2B",8.04648780480121e-06,-0.737769061336427,0.227,0.305,0.504595250239084,NA,NA,NA,"Treg","week12"
"ARHGEF18",8.40076094982905e-06,-0.352569806935706,0.654,0.72,0.52681171916378,NA,NA,NA,"Treg","week12"
"ENSG00000289707",8.58418541175293e-06,-0.563493577195853,0.335,0.318,0.538314267171027,NA,NA,NA,"Treg","week12"
"APOL2",8.62637132093516e-06,-0.549811116465759,0.36,0.431,0.540959745535844,NA,NA,NA,"Treg","week12"
"RPL7A",8.98745825581156e-06,-0.633774516954917,0.323,0.362,0.563603507221943,NA,NA,NA,"Treg","week12"
"LINC01891",8.99672950050544e-06,0.888886763657795,0.308,0.185,0.564184906976696,NA,NA,NA,"Treg","week12"
"GLRX",9.18038434499856e-06,-0.580768006382855,0.319,0.389,0.57570190227486,NA,NA,NA,"Treg","week12"
"ST8SIA1",9.68974057188115e-06,0.855866493177093,0.425,0.391,0.607643631262667,NA,NA,NA,"Treg","week12"
"PHF11",1.08901495018817e-05,0.540591753933428,0.566,0.424,0.682921275262999,NA,NA,NA,"Treg","week12"
"TAB2",1.17248893413638e-05,0.256483060292194,0.917,0.867,0.735267810596923,NA,NA,NA,"Treg","week12"
"DDX42",1.34877320262131e-05,-0.472492870955171,0.464,0.499,0.845815675363823,NA,NA,NA,"Treg","week12"
"PRKY",1.36319434649254e-05,0.500419798521909,0.504,0.367,0.854859174685473,NA,NA,NA,"Treg","week12"
"TBC1D2B",1.52889842749317e-05,-0.355093251831486,0.557,0.618,0.958772203880968,NA,NA,NA,"Treg","week12"
"IGF1R",1.75051548246261e-05,-0.307812566564367,0.867,0.888,1,NA,NA,NA,"Treg","week12"
"UTY",1.78228948371952e-05,0.442890422225701,0.539,0.408,1,NA,NA,NA,"Treg","week12"
"PLEKHG1",1.83297983186382e-05,-0.551832264385481,0.58,0.629,1,NA,NA,NA,"Treg","week12"
"KDM5D",1.86631824408792e-05,0.297473849036468,0.257,0.148,1,NA,NA,NA,"Treg","week12"
"B2M",1.86801776189617e-05,-0.201227340235583,0.918,0.974,1,NA,NA,NA,"Treg","week12"
"ELAPOR2",2.08484772517022e-05,1.3924039679031,0.155,0.062,1,NA,NA,NA,"Treg","week12"
"SELPLG",2.20608125680439e-05,-0.500794659557684,0.33,0.399,1,NA,NA,NA,"Treg","week12"
"TALAM1",2.40910786098029e-05,0.193832399381923,0.944,0.929,1,NA,NA,NA,"Treg","week12"
"MEAK7",2.44410304763382e-05,0.824428995539029,0.137,0.053,1,NA,NA,NA,"Treg","week12"
"FOXN2",2.60431999055077e-05,-0.479385927516491,0.427,0.492,1,NA,NA,NA,"Treg","week12"
"ADAR",2.70043995660107e-05,0.335153553917509,0.782,0.728,1,NA,NA,NA,"Treg","week12"
"APEX1",2.72542595069425e-05,-1.09728704642062,0.125,0.172,1,NA,NA,NA,"Treg","week12"
"CDHR3",2.76758579905751e-05,0.790192744069209,0.387,0.254,1,NA,NA,NA,"Treg","week12"
"SFPQ",2.82082890867506e-05,-0.288206713974073,0.731,0.768,1,NA,NA,NA,"Treg","week12"
"GIMAP5",2.89671859048451e-05,-0.268778193578727,0.619,0.687,1,NA,NA,NA,"Treg","week12"
"CYLD",3.05260500651671e-05,-0.324296206001681,0.872,0.916,1,NA,NA,NA,"Treg","week12"
"LAPTM4B",3.49496637674379e-05,-0.756229323999847,0.209,0.303,1,NA,NA,NA,"Treg","week12"
"TNFAIP3",3.64849091381928e-05,0.752940017451281,0.461,0.313,1,NA,NA,NA,"Treg","week12"
"SLC8B1",3.73054697375239e-05,-0.430117512546325,0.524,0.574,1,NA,NA,NA,"Treg","week12"
"ENTPD1-AS1",3.76375435446743e-05,0.855030714550942,0.284,0.159,1,NA,NA,NA,"Treg","week12"
"FAM149B1",3.78740268394738e-05,0.761019247374274,0.212,0.104,1,NA,NA,NA,"Treg","week12"
"UBASH3B",4.20068626054343e-05,-0.329051005937301,0.563,0.649,1,NA,NA,NA,"Treg","week12"
"LNPEP",4.46008646981974e-05,-0.265789208001226,0.865,0.867,1,NA,NA,NA,"Treg","week12"
"FOCAD",4.48070536514042e-05,0.56097978666565,0.521,0.382,1,NA,NA,NA,"Treg","week12"
"DDX3Y",4.63517708169137e-05,0.468513919671986,0.271,0.155,1,NA,NA,NA,"Treg","week12"
"RBMS3",4.6377169048285e-05,-0.326243745096838,0.811,0.892,1,NA,NA,NA,"Treg","week12"
"PIGX",4.9055019492271e-05,0.963375513667205,0.273,0.152,1,NA,NA,NA,"Treg","week12"
"SLC35E2B",5.28879572389787e-05,-0.608865914230686,0.295,0.34,1,NA,NA,NA,"Treg","week12"
"RCBTB1",5.30082504083968e-05,0.934266780990968,0.22,0.112,1,NA,NA,NA,"Treg","week12"
"TMEM245",5.33173610492354e-05,-0.585356724278031,0.681,0.686,1,NA,NA,NA,"Treg","week12"
"HEATR3",5.3917551830956e-05,-0.503105563715043,0.212,0.282,1,NA,NA,NA,"Treg","week12"
"NUTM2B-AS1",5.78340263852864e-05,-0.330095781289874,0.599,0.625,1,NA,NA,NA,"Treg","week12"
"AAMDC",5.81962794355554e-05,-0.688380455256331,0.213,0.283,1,NA,NA,NA,"Treg","week12"
"TBC1D5",5.84727535873566e-05,-0.214552830182317,0.93,0.952,1,NA,NA,NA,"Treg","week12"
"NOP56",6.25697676955284e-05,-0.546136947212262,0.332,0.351,1,NA,NA,NA,"Treg","week12"
"KMT2E",6.30605047816542e-05,0.232048025101321,0.891,0.874,1,NA,NA,NA,"Treg","week12"
"IL2RA",6.38517990642493e-05,-0.13425342364435,0.696,0.792,1,NA,NA,NA,"Treg","week12"
"XIST",6.67359062807037e-05,-0.303677293143009,0.35,0.455,1,NA,NA,NA,"Treg","week12"
"DPY19L4",6.76831213876132e-05,1.12067845167021,0.229,0.124,1,NA,NA,NA,"Treg","week12"
"NBPF26",7.48807460252295e-05,-1.26752268443277,0.065,0.121,1,NA,NA,NA,"Treg","week12"
"CD55",7.67918129227091e-05,-0.371659532045796,0.521,0.576,1,NA,NA,NA,"Treg","week12"
"NSD3",8.82501151578221e-05,-0.291739066839922,0.875,0.881,1,NA,NA,NA,"Treg","week12"
"TANK",9.234019822763e-05,0.438106282404203,0.716,0.607,1,NA,NA,NA,"Treg","week12"
"RASGRF2",9.30424056099989e-05,-0.451727887098292,0.452,0.534,1,NA,NA,NA,"Treg","week12"
"BCL2",9.94386178427284e-05,-0.229131089615233,0.868,0.918,1,NA,NA,NA,"Treg","week12"
"MYC",0.000101882842556731,-0.57977358842124,0.327,0.378,1,NA,NA,NA,"Treg","week12"
"LINC00623",0.000101924624511504,-0.413466317351452,0.292,0.346,1,NA,NA,NA,"Treg","week12"
"PLEC",0.000104747793859384,0.541859851732163,0.566,0.415,1,NA,NA,NA,"Treg","week12"
"SLC2A1",0.000105808149393653,-0.877147026705001,0.144,0.203,1,NA,NA,NA,"Treg","week12"
"INO80D",0.000107157980496154,0.558387559045638,0.61,0.483,1,NA,NA,NA,"Treg","week12"
"SVIL-AS1.1",0.000114593833470987,0.993907992219665,0.146,0.062,1,NA,NA,NA,"Treg","week12"
"IL21R",0.000117428509380879,-0.312543388897401,0.641,0.702,1,NA,NA,NA,"Treg","week12"
"TRAF3IP3",0.000120786671345535,-0.313502600321762,0.642,0.671,1,NA,NA,NA,"Treg","week12"
"PITPNM2",0.000125856129284585,-0.517547619821695,0.358,0.42,1,NA,NA,NA,"Treg","week12"
"NBR1",0.000125904491962935,0.612386357833361,0.448,0.322,1,NA,NA,NA,"Treg","week12"
"TMEM123",0.000137222924499753,-0.257876874821382,0.844,0.887,1,NA,NA,NA,"Treg","week12"
"FOXP1",0.000137666835387031,-0.221669066961561,0.985,0.995,1,NA,NA,NA,"Treg","week12"
"XRCC6",0.000138531226800428,-0.452011390868256,0.437,0.499,1,NA,NA,NA,"Treg","week12"
"IMMP2L",0.0001475201458643,0.426831109860212,0.784,0.715,1,NA,NA,NA,"Treg","week12"
"ITFG2",0.000152563594582141,-0.411799527256259,0.4,0.457,1,NA,NA,NA,"Treg","week12"
"CLEC2D",0.000156499406765848,-0.256646270072872,0.84,0.881,1,NA,NA,NA,"Treg","week12"
"DYNC2I1",0.00016129426678807,-0.592924488377801,0.271,0.346,1,NA,NA,NA,"Treg","week12"
"USP9Y",0.00017025159953471,0.411723010472144,0.458,0.34,1,NA,NA,NA,"Treg","week12"
"ENSG00000283674",0.000174111517170393,0.676865627126731,0.238,0.132,1,NA,NA,NA,"Treg","week12"
"TCP11L2",0.000175185491797783,-0.291234778095106,0.656,0.707,1,NA,NA,NA,"Treg","week12"
"RPSA",0.000175238029670447,-0.529422253876864,0.318,0.377,1,NA,NA,NA,"Treg","week12"
"MADD",0.000177519748848756,-0.365409378751219,0.418,0.437,1,NA,NA,NA,"Treg","week12"
"RPL5",0.000180195733967901,-0.411965389639196,0.572,0.601,1,NA,NA,NA,"Treg","week12"
"TAFA2",0.000183068392539924,-0.527543523640596,0.404,0.483,1,NA,NA,NA,"Treg","week12"
"GPR155",0.000187219317178521,-0.359075070328899,0.75,0.777,1,NA,NA,NA,"Treg","week12"
"HNRNPA1",0.000193715590477539,-0.231374551788367,0.633,0.669,1,NA,NA,NA,"Treg","week12"
"OBSCN",0.000195800435034598,-0.497367569893533,0.474,0.525,1,NA,NA,NA,"Treg","week12"
"NOP14",0.000197209810371057,-0.628833446025465,0.292,0.335,1,NA,NA,NA,"Treg","week12"
"ADD3",0.000201948221942563,-0.271914299200742,0.756,0.779,1,NA,NA,NA,"Treg","week12"
"NEAT1",0.000203099485116089,-0.261115230130466,0.877,0.888,1,NA,NA,NA,"Treg","week12"
"CSNK1E",0.000204520521087488,-0.359861947423037,0.197,0.144,1,NA,NA,NA,"Treg","week12"
"HNRNPH1",0.000206573796826323,-0.23908986601436,0.825,0.859,1,NA,NA,NA,"Treg","week12"
"RPS6KA3",0.000206850862538078,-0.332538776035812,0.732,0.742,1,NA,NA,NA,"Treg","week12"
"UGCG",0.000210394800809749,-0.444010002528206,0.559,0.633,1,NA,NA,NA,"Treg","week12"
"DDX39B",0.000224981869253015,-0.252480071078707,0.771,0.797,1,NA,NA,NA,"Treg","week12"
"RBL2",0.000231412282274838,-0.346527330588579,0.672,0.693,1,NA,NA,NA,"Treg","week12"
"FAN1",0.000234458870961807,0.831924363323066,0.183,0.09,1,NA,NA,NA,"Treg","week12"
"RAPGEF1",0.000235356745096095,0.292113905707593,0.789,0.722,1,NA,NA,NA,"Treg","week12"
"RNF125",0.000239057699869394,-0.442429400539231,0.378,0.43,1,NA,NA,NA,"Treg","week12"
"SH2D2A",0.000245951473437319,1.40705091968174,0.135,0.06,1,NA,NA,NA,"Treg","week12"
"GCN1",0.000250829153315995,-0.350371018782698,0.466,0.472,1,NA,NA,NA,"Treg","week12"
"HNRNPDL",0.000257270875884595,-0.298058284096938,0.632,0.649,1,NA,NA,NA,"Treg","week12"
"HCG18",0.000259326089039728,-0.30598035957195,0.544,0.601,1,NA,NA,NA,"Treg","week12"
"SLC37A1",0.000265762320909691,0.685589806119312,0.258,0.148,1,NA,NA,NA,"Treg","week12"
"ARHGAP30",0.00026917742709253,-0.3348116019219,0.567,0.612,1,NA,NA,NA,"Treg","week12"
"SYNE3",0.000269319276667585,-0.212302064580609,0.503,0.574,1,NA,NA,NA,"Treg","week12"
"COPE",0.000272183140451964,-0.657626409070136,0.249,0.305,1,NA,NA,NA,"Treg","week12"
"ZEB1",0.000274873906341297,0.261602370796849,0.943,0.898,1,NA,NA,NA,"Treg","week12"
"CRTC3",0.000275790982999311,-0.211374733001185,0.86,0.899,1,NA,NA,NA,"Treg","week12"
"CCND3",0.000278051302285598,-0.181633378421019,0.75,0.803,1,NA,NA,NA,"Treg","week12"
"MT-ND5",0.000282818461169095,0.302015830664236,0.871,0.841,1,NA,NA,NA,"Treg","week12"
"KLF7",0.000292150022328598,-0.426302232944147,0.506,0.574,1,NA,NA,NA,"Treg","week12"
"RREB1",0.000295030840318966,-0.347874821933012,0.584,0.62,1,NA,NA,NA,"Treg","week12"
"AVEN",0.000297754236606492,-0.553656870899027,0.227,0.285,1,NA,NA,NA,"Treg","week12"
"ZNRF3",0.000298007915995082,-1.33976956120506,0.069,0.117,1,NA,NA,NA,"Treg","week12"
"SERPINB9",0.000314697490758241,0.624425821995174,0.384,0.258,1,NA,NA,NA,"Treg","week12"
"PIP4K2A",0.000316488416289895,-0.301278250007433,0.77,0.775,1,NA,NA,NA,"Treg","week12"
