"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"SYNJ2",1.71217493641213e-05,0.541346128457238,0.153,0.117,1,NA,NA,NA,"CD8_Naive_T","week44"
"BLTP1",1.73949159192852e-05,0.183990552054295,0.73,0.666,1,NA,NA,NA,"CD8_Naive_T","week44"
"RGS10",1.77026186832192e-05,0.195404923739632,0.667,0.603,1,NA,NA,NA,"CD8_Naive_T","week44"
"LUC7L",1.77065346988033e-05,-0.123708093809874,0.602,0.615,1,NA,NA,NA,"CD8_Naive_T","week44"
"UMAD1",1.78085587795045e-05,0.151023703546381,0.551,0.488,1,NA,NA,NA,"CD8_Naive_T","week44"
"PBX4",1.79716826080372e-05,-0.309145524983976,0.228,0.277,1,NA,NA,NA,"CD8_Naive_T","week44"
"ADGRE5",1.83744472472407e-05,0.205811737277435,0.497,0.434,1,NA,NA,NA,"CD8_Naive_T","week44"
"HMGN3",1.8591461912998e-05,0.192679430371131,0.265,0.22,1,NA,NA,NA,"CD8_Naive_T","week44"
"ENSG00000288597",1.88096065439277e-05,0.300968649557372,0.104,0.078,1,NA,NA,NA,"CD8_Naive_T","week44"
"IL32",1.89648035143915e-05,0.229037899770658,0.338,0.285,1,NA,NA,NA,"CD8_Naive_T","week44"
"RNF214",1.95564694129442e-05,-0.342676448178502,0.18,0.198,1,NA,NA,NA,"CD8_Naive_T","week44"
"TMEM65",1.95671172719637e-05,-0.169480399930703,0.417,0.424,1,NA,NA,NA,"CD8_Naive_T","week44"
"KLHL2",1.95724286428376e-05,0.243122235315774,0.558,0.493,1,NA,NA,NA,"CD8_Naive_T","week44"
"MHENCR",1.96573824535907e-05,0.468854544693676,0.174,0.133,1,NA,NA,NA,"CD8_Naive_T","week44"
"ATRX",1.9975582360294e-05,-0.106823267281086,0.851,0.848,1,NA,NA,NA,"CD8_Naive_T","week44"
"MAZ",2.00245435830408e-05,-0.448336862120091,0.12,0.153,1,NA,NA,NA,"CD8_Naive_T","week44"
"CCNJ",2.08491628347436e-05,0.608823180105112,0.101,0.07,1,NA,NA,NA,"CD8_Naive_T","week44"
"FRG1HP",2.10175375149724e-05,0.240461896528714,0.351,0.295,1,NA,NA,NA,"CD8_Naive_T","week44"
"FXYD5",2.13473615721428e-05,-0.193467555023602,0.375,0.397,1,NA,NA,NA,"CD8_Naive_T","week44"
"MAMDC2",2.14063173231698e-05,0.505970773346585,0.125,0.093,1,NA,NA,NA,"CD8_Naive_T","week44"
"AEBP1",2.14961660532666e-05,-0.341638159183298,0.105,0.111,1,NA,NA,NA,"CD8_Naive_T","week44"
"MAP7D1",2.20481715126625e-05,-0.16663343685964,0.443,0.471,1,NA,NA,NA,"CD8_Naive_T","week44"
"RBBP6",2.20810178134961e-05,-0.154628834495136,0.493,0.499,1,NA,NA,NA,"CD8_Naive_T","week44"
